trial_id,source,unq_drugs,atc,atc_new,drug_name,correct_name,dose,n,arm_n,arm_n_attr
NCT00099320,agg,2,placebo,placebo,placebo,NA,NA,233,112,16
NCT00099853,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,463,147,23
NCT00099853,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,463,158,34
NCT00099853,agg,2,placebo,placebo,placebo,NA,NA,463,158,30
NCT00099892,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,416,286,49
NCT00099892,agg,2,placebo,placebo,placebo,NA,NA,416,130,22
NCT00099905,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,286,194,29
NCT00099905,agg,2,placebo,placebo,placebo,NA,NA,380,94,24
NCT00099918,agg,2,A10BG02,A10BG02,rosiglitazone,NA,NA,697,238,6
NCT00099918,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,697,459,13
NCT00099931,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,296,144,30
NCT00099931,agg,2,placebo,placebo,placebo,NA,NA,296,152,28
NCT00099944,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,408,264,66
NCT00099944,agg,2,placebo,placebo,placebo,NA,NA,408,144,23
NCT00101712,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,306,156,23
NCT00101712,agg,2,placebo,placebo,placebo,NA,NA,306,150,28
NCT00101803,agg,2,A10BG03,A10BG03,pioglitazone,NA,NA,315,161,28
NCT00101803,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,315,154,18
NCT00102466,agg,2,A10BB09,A10BB09,gliclazide,NA,NA,1007,494,82
NCT00102466,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,1007,513,106
NCT00103857,agg,3,A10BA02,A10BA02,metformin,NA,1000,719,182,26
NCT00103857,agg,3,A10BA02,A10BA02,metformin,NA,500,719,182,29
NCT00103857,agg,3,A10BH01,A10BH01,sitagliptin,NA,100,719,179,37
NCT00103857,agg,3,placebo,placebo,placebo,NA,NA,719,176,49
NCT00106340,agg,2,A10BB12,A10BB12,glimepiride,NA,NA,2789,1393,275
NCT00106340,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,2789,1396,222
NCT00106704,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,425,222,37
NCT00106704,agg,2,placebo,placebo,placebo,NA,NA,425,219,40
NCT00110240,agg,2,A10BF01,A10BF01,acarbose,NA,NA,661,220,28
NCT00110240,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,661,441,102
NCT00120536,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,354,91,15
NCT00120536,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,354,171,37
NCT00120536,agg,2,placebo,placebo,placebo,NA,NA,354,92,29
NCT00121641,agg,2,A10BH03,A10BH03,saxagliptin,NA,10,401,98,29
NCT00121641,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,401,102,29
NCT00121641,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,401,106,38
NCT00121641,agg,2,placebo,placebo,placebo,NA,NA,401,95,40
NCT00121667,agg,2,A10BH03,A10BH03,saxagliptin,NA,10,743,181,41
NCT00121667,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,743,192,44
NCT00121667,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,743,191,48
NCT00121667,agg,2,placebo,placebo,placebo,NA,NA,743,179,67
NCT00237237,agg,2,A10BG03,A10BG03,pioglitazone,NA,NA,576,281,37
NCT00237237,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,576,295,33
NCT00286429,ipd,2,A10BH04,A10BH04,alogliptin,NA,12.5,390,131,48
NCT00286429,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,390,129,52
NCT00286429,ipd,2,placebo,placebo,placebo,NA,NA,390,130,75
NCT00286442,ipd,2,A10BH04,A10BH04,alogliptin,NA,12.5,527,213,37
NCT00286442,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,527,210,45
NCT00286442,ipd,2,placebo,placebo,placebo,NA,NA,527,104,32
NCT00286455,ipd,2,A10BH04,A10BH04,alogliptin,NA,12.5,329,133,28
NCT00286455,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,329,131,24
NCT00286455,ipd,2,placebo,placebo,placebo,NA,NA,329,65,25
NCT00286468,ipd,2,A10BH04,A10BH04,alogliptin,NA,12.5,500,203,50
NCT00286468,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,500,198,50
NCT00286468,ipd,2,placebo,placebo,placebo,NA,NA,500,99,37
NCT00286494,ipd,2,A10BH04,A10BH04,alogliptin,NA,12.5,493,197,44
NCT00286494,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,493,199,39
NCT00286494,ipd,2,placebo,placebo,placebo,NA,NA,493,97,26
NCT00289848,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,530,352,46
NCT00289848,agg,2,placebo,placebo,placebo,NA,NA,530,178,45
NCT00294723,agg,2,A10BB12,A10BB12,glimepiride,NA,NA,745,248,96
NCT00294723,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.2,745,251,89
NCT00294723,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.8,745,246,74
NCT00295633,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,585,195,36
NCT00295633,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,585,186,46
NCT00295633,agg,2,placebo,placebo,placebo,NA,NA,585,184,46
NCT00300287,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,302,153,20
NCT00300287,agg,2,placebo,placebo,placebo,NA,NA,302,149,18
NCT00305604,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,206,102,32
NCT00305604,agg,2,placebo,placebo,placebo,NA,NA,206,104,47
NCT00313001,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,372,248,44
NCT00313001,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,372,124,37
NCT00313313,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,768,246,248
NCT00313313,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,768,250,253
NCT00313313,agg,2,placebo,placebo,placebo,NA,NA,768,264,267
NCT00316082,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,294,74,19
NCT00316082,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,294,146,37
NCT00316082,agg,2,placebo,placebo,placebo,NA,NA,294,74,21
NCT00318461,agg,3,A10BB12,A10BB12,glimepiride,NA,NA,1091,244,34
NCT00318461,agg,3,A10BJ02,A10BJ02,liraglutide,NA,0.6,1091,242,44
NCT00318461,agg,3,A10BJ02,A10BJ02,liraglutide,NA,1.2,1091,241,51
NCT00318461,agg,3,A10BJ02,A10BJ02,liraglutide,NA,1.8,1091,242,34
NCT00318461,agg,3,placebo,placebo,placebo,NA,NA,1091,122,48
NCT00324363,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,466,234,41
NCT00324363,agg,2,placebo,placebo,placebo,NA,NA,466,232,24
NCT00325117,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,202,102,3
NCT00325117,agg,2,placebo,placebo,placebo,NA,NA,202,100,4
NCT00327015,agg,2,A10BA02,A10BA02,metformin,NA,500,663,328,85
NCT00327015,agg,2,A10BH03,A10BH03,saxagliptin,NA,10,663,335,110
NCT00328627,agg,3,A10BG03,A10BG03,pioglitazone,NA,NA,646,388,104
NCT00328627,agg,3,A10BH04,A10BH04,alogliptin,NA,25,646,129,28
NCT00328627,agg,3,placebo,placebo,placebo,NA,NA,646,129,59
NCT00331851,agg,3,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,581,234,13
NCT00331851,agg,3,A10BJ02,A10BJ02,liraglutide,NA,1.8,581,232,23
NCT00331851,agg,3,placebo,placebo,placebo,NA,NA,581,115,18
NCT00333151,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.2,533,178,25
NCT00333151,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.8,533,178,27
NCT00333151,agg,2,placebo,placebo,placebo,NA,NA,533,177,6
NCT00337610,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,190,96,14
NCT00337610,agg,2,placebo,placebo,placebo,NA,NA,190,94,17
NCT00350779,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,262,170,22
NCT00350779,agg,2,placebo,placebo,placebo,NA,NA,262,92,21
NCT00351832,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,239,57,3
NCT00351832,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,239,121,5
NCT00351832,agg,2,placebo,placebo,placebo,NA,NA,239,61,2
NCT00351884,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,370,248,51
NCT00351884,agg,2,placebo,placebo,placebo,NA,NA,370,122,32
NCT00359762,agg,2,A10BB12,A10BB12,glimepiride,NA,NA,1029,514,128
NCT00359762,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,1029,515,174
NCT00363948,agg,2,A10BH01,A10BH01,sitagliptin,NA,50,149,77,1
NCT00363948,agg,2,placebo,placebo,placebo,NA,NA,149,72,4
NCT00368134,agg,2,A10BF03,A10BF03,voglibose,NA,NA,380,192,10
NCT00368134,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,380,188,9
NCT00372060,agg,2,A10BH01,A10BH01,sitagliptin,NA,50,134,66,3
NCT00372060,agg,2,placebo,placebo,placebo,NA,NA,134,68,1
NCT00375492,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,194,96,26
NCT00375492,agg,2,placebo,placebo,placebo,NA,NA,194,98,26
NCT00381342,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,232,78,10
NCT00381342,agg,2,A10BJ01,A10BJ01,exenatide,NA,5,232,77,11
NCT00381342,agg,2,placebo,placebo,placebo,NA,NA,232,77,9
NCT00382096,agg,2,A10BA02,A10BA02,metformin,NA,1000,594,294,49
NCT00382096,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,594,300,55
NCT00383578,agg,2,A10BA02,A10BA02,metformin,NA,1500,335,166,26
NCT00383578,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,335,169,27
NCT00393718,agg,2,A10BB01,A10BB01,glibenclamide,NA,NA,400,132,22
NCT00393718,agg,2,A10BJ02,A10BJ02,liraglutide,NA,0.9,400,268,43
NCT00395343,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,641,322,41
NCT00395343,agg,2,placebo,placebo,placebo,NA,NA,641,319,36
NCT00395512,agg,2,A10BG03,A10BG03,pioglitazone,NA,NA,327,163,37
NCT00395512,agg,2,A10BH04,A10BH04,alogliptin,NA,25,327,164,38
NCT00395746,agg,2,A10BJ02,A10BJ02,liraglutide,NA,0.6,264,88,10
NCT00395746,agg,2,A10BJ02,A10BJ02,liraglutide,NA,0.9,264,88,4
NCT00395746,agg,2,placebo,placebo,placebo,NA,NA,264,88,22
NCT00396227,agg,2,A10BG,A10BG,Thiazolidinediones,NA,NA,2664,888,105
NCT00396227,agg,2,A10BH02,A10BH02,vildagliptin,NA,100,2664,1776,184
NCT00397631,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,520,261,30
NCT00397631,agg,2,placebo,placebo,placebo,NA,NA,520,259,44
NCT00411554,agg,2,A10BF03,A10BF03,voglibose,NA,NA,319,156,9
NCT00411554,agg,2,A10BH01,A10BH01,sitagliptin,NA,50,319,163,8
NCT00432276,agg,2,A10BH04,A10BH04,alogliptin,NA,25,803,404,121
NCT00432276,agg,2,placebo,placebo,placebo,NA,NA,803,399,156
NCT00434954,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,494,246,71
NCT00434954,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,494,248,82
NCT00449930,agg,2,A10BA02,A10BA02,metformin,NA,500,1050,522,75
NCT00449930,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,1050,528,61
NCT00482729,agg,2,A10BH01,A10BH01,sitagliptin,NA,50,1250,626,217
NCT00482729,agg,2,placebo,placebo,placebo,NA,NA,1250,624,218
NCT00509262,agg,2,A10BB07,A10BB07,glipizide,NA,NA,423,212,42
NCT00509262,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,423,211,47
NCT00518882,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,467,232,45
NCT00518882,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.8,467,235,33
NCT00528372,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,274,70,13
NCT00528372,agg,2,A10BK01,A10BK01,dapagliflozin,NA,2.5,274,65,5
NCT00528372,agg,2,A10BK01,A10BK01,dapagliflozin,NA,5,274,64,12
NCT00528372,agg,2,placebo,placebo,placebo,NA,NA,274,75,12
NCT00528879,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,546,135,16
NCT00528879,agg,2,A10BK01,A10BK01,dapagliflozin,NA,2.5,546,137,17
NCT00528879,agg,2,A10BK01,A10BK01,dapagliflozin,NA,5,546,137,15
NCT00528879,agg,2,placebo,placebo,placebo,NA,NA,546,137,22
NCT00541775,agg,3,A10BG02,A10BG02,rosiglitazone,NA,NA,273,87,2
NCT00541775,agg,3,A10BH01,A10BH01,sitagliptin,NA,100,273,94,9
NCT00541775,agg,3,placebo,placebo,placebo,NA,NA,273,92,8
NCT00575588,agg,2,A10BB07,A10BB07,glipizide,NA,NA,858,430,283
NCT00575588,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,858,428,263
NCT00577824,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,181,73,20
NCT00577824,agg,2,A10BJ01,A10BJ01,exenatide,NA,5,181,72,7
NCT00577824,agg,2,placebo,placebo,placebo,NA,NA,181,36,2
NCT00601250,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,700,523,39
NCT00601250,ipd,2,placebo,placebo,placebo,NA,NA,700,177,14
NCT00602472,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,1055,792,58
NCT00602472,ipd,2,placebo,placebo,placebo,NA,NA,1055,263,21
NCT00603239,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,165,111,15
NCT00603239,agg,2,placebo,placebo,placebo,NA,NA,165,54,4
NCT00614120,agg,2,A10BB12,A10BB12,glimepiride,NA,NA,929,231,16
NCT00614120,agg,2,A10BJ02,A10BJ02,liraglutide,NA,0.6,929,231,29
NCT00614120,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.2,929,233,46
NCT00614120,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.8,929,234,59
NCT00614939,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,170,85,43
NCT00614939,agg,2,placebo,placebo,placebo,NA,NA,170,85,35
NCT00616811,agg,2,A10BH01,A10BH01,sitagliptin,NA,25,148,65,12
NCT00616811,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,148,83,16
NCT00621140,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,503,336,18
NCT00621140,ipd,2,placebo,placebo,placebo,NA,NA,503,167,15
NCT00622284,ipd,2,A10BB12,A10BB12,glimepiride,NA,NA,1551,775,171
NCT00622284,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,1551,776,189
NCT00637273,agg,3,A10BG03,A10BG03,pioglitazone,NA,NA,514,172,41
NCT00637273,agg,3,A10BH01,A10BH01,sitagliptin,NA,100,514,172,28
NCT00637273,agg,3,A10BJ01,A10BJ01,exenatide,NA,2,514,170,43
NCT00641043,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,389,259,15
NCT00641043,ipd,2,placebo,placebo,placebo,NA,NA,389,130,19
NCT00641056,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,467,234,25
NCT00641056,agg,2,A10BJ01,A10BJ01,exenatide,NA,2,467,233,29
NCT00643851,agg,2,A10BA02,A10BA02,metformin,NA,500,404,201,30
NCT00643851,agg,2,A10BK01,A10BK01,dapagliflozin,NA,5,404,203,33
NCT00654381,ipd,3,A10BF03,A10BF03,voglibose,NA,NA,561,162,4
NCT00654381,ipd,3,A10BH05,A10BH05,linagliptin,NA,10,561,160,5
NCT00654381,ipd,3,A10BH05,A10BH05,linagliptin,NA,5,561,159,3
NCT00654381,ipd,3,placebo,placebo,placebo,NA,NA,561,80,6
NCT00660907,agg,2,A10BB07,A10BB07,glipizide,NA,NA,814,408,94
NCT00660907,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,814,406,84
NCT00661362,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,570,283,29
NCT00661362,agg,2,placebo,placebo,placebo,NA,NA,570,287,40
NCT00666458,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,801,398,24
NCT00666458,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,801,403,38
NCT00673231,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,807,196,18
NCT00673231,agg,2,A10BK01,A10BK01,dapagliflozin,NA,2.5,807,202,22
NCT00673231,agg,2,A10BK01,A10BK01,dapagliflozin,NA,5,807,212,26
NCT00673231,agg,2,placebo,placebo,placebo,NA,NA,807,197,29
NCT00676338,agg,4,A10BA02,A10BA02,metformin,NA,1000,820,246,33
NCT00676338,agg,4,A10BG03,A10BG03,pioglitazone,NA,NA,820,163,30
NCT00676338,agg,4,A10BH01,A10BH01,sitagliptin,NA,100,820,163,23
NCT00676338,agg,4,A10BJ01,A10BJ01,exenatide,NA,2,820,248,38
NCT00680745,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,596,151,10
NCT00680745,agg,2,A10BK01,A10BK01,dapagliflozin,NA,2.5,596,154,14
NCT00680745,agg,2,A10BK01,A10BK01,dapagliflozin,NA,5,596,145,13
NCT00680745,agg,2,placebo,placebo,placebo,NA,NA,596,146,13
NCT00683878,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,420,140,14
NCT00683878,agg,2,A10BK01,A10BK01,dapagliflozin,NA,5,420,141,16
NCT00683878,agg,2,placebo,placebo,placebo,NA,NA,420,139,23
NCT00698932,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,568,284,22
NCT00698932,agg,2,placebo,placebo,placebo,NA,NA,568,284,36
NCT00700817,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,665,219,25
NCT00700817,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.2,665,225,56
NCT00700817,agg,2,A10BJ02,A10BJ02,liraglutide,NA,1.8,665,221,30
NCT00701090,agg,2,A10BB12,A10BB12,glimepiride,NA,NA,1035,519,51
NCT00701090,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,1035,516,48
NCT00707031,ipd,2,A10BJ01,A10BJ01,exenatide,NA,10,639,319,99
NCT00707031,ipd,2,A10BJ03,A10BJ03,lixisenatide,NA,20,639,320,104
NCT00707993,ipd,2,A10BB07,A10BB07,glipizide,NA,NA,441,219,94
NCT00707993,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,441,222,89
NCT00713830,ipd,2,A10BJ03,A10BJ03,lixisenatide,NA,20,859,573,177
NCT00713830,ipd,2,placebo,placebo,placebo,NA,NA,859,286,82
NCT00715624,ipd,2,A10BJ03,A10BJ03,lixisenatide,NA,20,496,329,116
NCT00715624,ipd,2,placebo,placebo,placebo,NA,NA,496,167,52
NCT00717457,agg,2,A10BJ01,A10BJ01,exenatide,NA,5,1149,373,51
NCT00717457,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,10,1149,384,62
NCT00717457,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,20,1149,392,83
NCT00722371,agg,2,A10BG03,A10BG03,pioglitazone,NA,NA,2310,693,200
NCT00722371,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,2310,231,56
NCT00740051,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,227,151,32
NCT00740051,ipd,2,placebo,placebo,placebo,NA,NA,227,76,18
NCT00744367,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,10,313,106,13
NCT00744367,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,20,313,113,16
NCT00744367,agg,2,placebo,placebo,placebo,NA,NA,313,94,6
NCT00751114,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,515,250,38
NCT00751114,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,515,265,32
NCT00754988,agg,3,A10BH01,A10BH01,sitagliptin,NA,100,636,177,5
NCT00754988,agg,3,A10BJ__04,A10BJ04,albiglutide,taspoglutide,10,636,182,34
NCT00754988,agg,3,A10BJ__04,A10BJ04,albiglutide,taspoglutide,20,636,187,48
NCT00754988,agg,3,placebo,placebo,placebo,NA,NA,636,90,7
NCT00755287,agg,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,1028,319,26
NCT00755287,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,10,1028,361,71
NCT00755287,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,20,1028,348,73
NCT00757588,agg,2,A10BH03,A10BH03,saxagliptin,NA,5,455,304,36
NCT00757588,agg,2,placebo,placebo,placebo,NA,NA,455,151,17
NCT00763815,ipd,2,A10BJ03,A10BJ03,lixisenatide,NA,20,484,323,84
NCT00763815,ipd,2,placebo,placebo,placebo,NA,NA,484,161,52
NCT00765817,agg,2,A10BJ01,A10BJ01,exenatide,NA,10,261,138,26
NCT00765817,agg,2,placebo,placebo,placebo,NA,NA,261,123,22
NCT00798161,ipd,3,A10BA02,A10BA02,metformin,NA,1000,505,147,21
NCT00798161,ipd,3,A10BA02,A10BA02,metformin,NA,500,505,144,17
NCT00798161,ipd,3,A10BH05,A10BH05,linagliptin,NA,5,505,142,21
NCT00798161,ipd,3,placebo,placebo,placebo,NA,NA,505,72,18
NCT00800683,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,133,68,19
NCT00800683,ipd,2,placebo,placebo,placebo,NA,NA,133,65,17
NCT00813995,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,395,197,23
NCT00813995,agg,2,placebo,placebo,placebo,NA,NA,395,198,16
NCT00819091,ipd,2,A10BH05,A10BH05,linagliptin,NA,5,245,161,10
NCT00819091,ipd,2,placebo,placebo,placebo,NA,NA,245,84,7
NCT00822211,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,438,294,22
NCT00822211,agg,2,placebo,placebo,placebo,NA,NA,438,144,13
NCT00823992,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,20,292,149,29
NCT00823992,agg,2,placebo,placebo,placebo,NA,NA,292,143,7
NCT00837577,agg,2,A10BH01,A10BH01,sitagliptin,NA,50,133,70,2
NCT00838903,ipd,4,A10BB12,A10BB12,glimepiride,NA,NA,NA,NA,NA
NCT00838903,ipd,4,A10BH01,A10BH01,sitagliptin,NA,100,1012,302,112
NCT00838903,ipd,4,A10BJ04,A10BJ04,albiglutide,NA,30,1012,302,110
NCT00838903,ipd,4,placebo,placebo,placebo,NA,NA,1012,101,46
NCT00838916,ipd,2,A10A,A10A,INSULINS AND ANALOGUES,NA,NA,745,241,77
NCT00838916,ipd,2,A10BJ04,A10BJ04,albiglutide,NA,30,745,504,196
NCT00839527,ipd,3,A10BG03,A10BG03,pioglitazone,NA,NA,663,277,118
NCT00839527,ipd,3,A10BJ04,A10BJ04,albiglutide,NA,30,663,271,119
NCT00839527,ipd,3,placebo,placebo,placebo,NA,NA,663,115,60
NCT00849017,ipd,2,A10BJ04,A10BJ04,albiglutide,NA,30,301,101,33
NCT00849017,ipd,2,A10BJ04,A10BJ04,albiglutide,NA,50,301,99,42
NCT00849017,ipd,2,placebo,placebo,placebo,NA,NA,301,101,43
NCT00849056,ipd,2,A10BJ04,A10BJ04,albiglutide,NA,30,301,150,50
NCT00849056,ipd,2,placebo,placebo,placebo,NA,NA,301,151,63
NCT00854035,agg,2,A10BH01,A10BH01,sitagliptin,NA,50,266,129,4
NCT00854035,agg,2,placebo,placebo,placebo,NA,NA,266,137,8
NCT00856284,ipd,2,A10BB07,A10BB07,glipizide,NA,NA,2639,874,447
NCT00856284,ipd,2,A10BH04,A10BH04,alogliptin,NA,12.5,2639,880,408
NCT00856284,ipd,2,A10BH04,A10BH04,alogliptin,NA,25,2639,885,392
NCT00859898,agg,2,A10BA02,A10BA02,metformin,NA,500,427,208,27
NCT00859898,agg,2,A10BK01,A10BK01,dapagliflozin,NA,10,427,219,31
NCT00866658,ipd,2,A10BJ03,A10BJ03,lixisenatide,NA,20,311,154,21
NCT00866658,ipd,2,placebo,placebo,placebo,NA,NA,311,157,13
NCT00870194,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,255,128,14
NCT00870194,agg,2,placebo,placebo,placebo,NA,NA,255,127,26
NCT00885352,agg,2,A10BH01,A10BH01,sitagliptin,NA,100,313,157,8
NCT00885352,agg,2,placebo,placebo,placebo,NA,NA,313,156,20
NCT00885378,agg,2,A10BH03,A10BH03,saxagliptin,NA,2.5,160,74,8
NCT00885378,agg,2,placebo,placebo,placebo,NA,NA,160,86,8
NCT00894868,agg,2,A10BH02,A10BH02,vildagliptin,NA,50,254,128,27
NCT00894868,agg,2,placebo,placebo,placebo,NA,NA,254,126,26
NCT00909597,agg,2,A10BG03,A10BG03,pioglitazone,NA,NA,740,255,27
NCT00909597,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,10,740,240,20
NCT00909597,agg,2,A10BJ__04,A10BJ04,albiglutide,taspoglutide,20,740,245,48
NCT00915772,ipd,2,A10BA02,A10BA02,metformin,NA,500,NA,NA,NA
NCT00915772,ipd,2,A10BH05,A10BH05,linagliptin,NA,2.5,395,225,46
