nct_id,modeltype,spec,term,ref,estimate,std.error,statistic,p.value,lci,uci
NCT02152371,cox,unadj,glp1,placebo,-0.317,0.382,-0.831,0.406,-1.066,0.431
NCT02597049,cox,unadj,glp1,placebo,1.174,0.766,1.533,0.125,-0.327,2.675
NCT02750410,cox,unadj,glp1,placebo,-1.034,0.486,-2.128,0.033,-1.987,-0.082
NCT00838903,cox,unadj,glp1,placebo,-0.282,0.177,-1.593,0.111,-0.629,0.065
NCT00838903,cox,unadj,dpp4,placebo,-0.271,0.177,-1.538,0.124,-0.617,0.074
NCT00838903,cox,unadj,sulf,placebo,-0.259,0.176,-1.471,0.141,-0.603,0.086
NCT00838916,cox,unadj,glp1,insulin,0.247,0.135,1.823,0.068,-0.019,0.512
NCT00839527,cox,unadj,glp1,placebo,-0.252,0.158,-1.594,0.111,-0.563,0.058
NCT00839527,cox,unadj,thia,placebo,-0.304,0.159,-1.914,0.056,-0.615,0.007
NCT00849017,cox,unadj,glp1,placebo,-0.155,0.191,-0.813,0.416,-0.53,0.22
NCT00849056,cox,unadj,glp1,placebo,-0.355,0.189,-1.873,0.061,-0.726,0.016
NCT00976391,cox,unadj,glp1,insulin,0.057,0.224,0.253,0.8,-0.382,0.495
NCT01098539,cox,unadj,glp1,dpp4,-0.342,0.186,-1.839,0.066,-0.706,0.023
NCT01733758,cox,unadj,glp1,placebo,-0.911,0.309,-2.951,0.003,-1.516,-0.306
NCT02229227,cox,unadj,glp1,insulin,-0.121,0.191,-0.632,0.528,-0.496,0.254
NCT00968812,cox,unadj,sglt2,sulf,-0.145,0.096,-1.508,0.132,-0.333,0.043
NCT01081834,cox,unadj,sglt2,placebo,-0.518,0.174,-2.973,0.003,-0.859,-0.176
NCT01106625,cox,unadj,sglt2,placebo,-0.432,0.162,-2.671,0.008,-0.749,-0.115
NCT01106651,cox,unadj,sglt2,placebo,-0.462,0.146,-3.172,0.002,-0.747,-0.176
NCT01106677,cox,unadj,sglt2,placebo,-0.284,0.172,-1.654,0.098,-0.621,0.053
NCT01106677,cox,unadj,dpp4,placebo,-0.15,0.187,-0.806,0.42,-0.516,0.215
NCT01106690,cox,unadj,sglt2,placebo,-0.587,0.223,-2.629,0.009,-1.024,-0.149
NCT01137812,cox,unadj,sglt2,dpp4,-0.322,0.119,-2.707,0.007,-0.555,-0.089
NCT01381900,cox,unadj,sglt2,placebo,0.257,0.393,0.653,0.514,-0.514,1.027
NCT01809327,cox,unadj,sglt2,biguanide,-0.28,0.23,-1.222,0.222,-0.731,0.17
NCT02025907,cox,unadj,sglt2,placebo,-0.833,0.348,-2.394,0.017,-1.514,-0.151
NCT00688701,cox,unadj,glp1,placebo,0.178,0.398,0.447,0.655,-0.603,0.959
NCT00712673,cox,unadj,glp1,placebo,0.039,0.178,0.219,0.827,-0.31,0.388
NCT00713830,cox,unadj,glp1,placebo,0.066,0.134,0.493,0.622,-0.196,0.328
NCT00715624,cox,unadj,glp1,placebo,0.135,0.167,0.804,0.422,-0.193,0.463
NCT00763451,cox,unadj,glp1,placebo,0.084,0.211,0.4,0.689,-0.329,0.498
NCT00763815,cox,unadj,glp1,placebo,-0.259,0.177,-1.466,0.143,-0.605,0.087
NCT00866658,cox,unadj,glp1,placebo,0.495,0.356,1.388,0.165,-0.204,1.193
NCT00975286,cox,unadj,glp1,placebo,0.919,0.343,2.677,0.007,0.246,1.592
NCT00976937,cox,unadj,glp1,dpp4,0.431,0.392,1.099,0.272,-0.337,1.198
NCT01169779,cox,unadj,glp1,placebo,0.599,0.402,1.49,0.136,-0.189,1.387
NCT01632163,cox,unadj,glp1,placebo,-0.65,0.408,-1.592,0.111,-1.45,0.15
NCT01768559,cox,unadj,glp1,insulin,0.742,0.265,2.799,0.005,0.222,1.261
NCT01798706,cox,unadj,glp1,placebo,-0.147,0.33,-0.446,0.656,-0.794,0.5
NCT00286429,cox,unadj,dpp4,placebo,-0.588,0.157,-3.749,0,-0.896,-0.281
NCT00286442,cox,unadj,dpp4,placebo,-0.642,0.215,-2.981,0.003,-1.064,-0.22
NCT00286455,cox,unadj,dpp4,placebo,-0.825,0.256,-3.227,0.001,-1.326,-0.324
NCT00286468,cox,unadj,dpp4,placebo,-0.499,0.193,-2.589,0.01,-0.877,-0.121
NCT00286494,cox,unadj,dpp4,placebo,-0.264,0.234,-1.127,0.26,-0.723,0.195
NCT00707993,cox,unadj,dpp4,sulf,-0.102,0.148,-0.691,0.49,-0.393,0.188
NCT00856284,cox,unadj,dpp4,sulf,-0.175,0.059,-2.971,0.003,-0.291,-0.06
NCT01023581,cox,unadj,biguanide,placebo,-0.633,0.243,-2.606,0.009,-1.11,-0.157
NCT01023581,cox,unadj,dpp4,placebo,-0.044,0.218,-0.204,0.838,-0.472,0.383
NCT01289119,cox,unadj,dpp4,placebo,-0.151,0.313,-0.483,0.629,-0.765,0.462
NCT01632007,cox,unadj,dpp4,placebo,-0.565,0.539,-1.047,0.295,-1.622,0.492
NCT01890122,cox,unadj,dpp4,placebo,-0.607,0.217,-2.8,0.005,-1.033,-0.182
NCT01890122,cox,unadj,biguanide,placebo,-0.806,0.231,-3.491,0,-1.259,-0.353
NCT01217892,glm,unadj,(Intercept),placebo,-2.442,0.369,-6.626,0,-3.165,-1.72
NCT01217892,glm,unadj,sglt2,placebo,-0.23,0.438,-0.525,0.6,-1.089,0.629
NCT01606007,glm,unadj,(Intercept),dpp4,-2.596,0.299,-8.677,0,-3.183,-2.01
NCT01606007,glm,unadj,sglt2,dpp4,0.093,0.416,0.223,0.824,-0.722,0.907
NCT01619059,glm,unadj,(Intercept),placebo,-3.219,0.416,-7.731,0,-4.035,-2.403
NCT01619059,glm,unadj,dpp4,placebo,0.474,0.54,0.879,0.38,-0.584,1.533
NCT02471404,glm,unadj,(Intercept),sulf,-3.098,0.283,-10.928,0,-3.654,-2.542
NCT02471404,glm,unadj,sglt2,sulf,0.232,0.383,0.607,0.544,-0.518,0.982
NCT02681094,glm,unadj,(Intercept),dpp4,-3.364,0.322,-10.458,0,-3.994,-2.733
NCT02681094,glm,unadj,sglt2,dpp4,0.283,0.429,0.661,0.509,-0.557,1.124
NCT00601250,glm,unadj,(Intercept),placebo,-2.455,0.279,-8.814,0,-3.001,-1.909
NCT00601250,glm,unadj,dpp4,placebo,-0.064,0.324,-0.197,0.844,-0.7,0.572
NCT00602472,glm,unadj,(Intercept),placebo,-2.444,0.227,-10.745,0,-2.89,-1.999
NCT00602472,glm,unadj,dpp4,placebo,-0.094,0.265,-0.353,0.724,-0.614,0.426
NCT00621140,glm,unadj,(Intercept),placebo,-2.316,0.271,-8.557,0,-2.846,-1.785
NCT00621140,glm,unadj,dpp4,placebo,-0.556,0.363,-1.53,0.126,-1.268,0.156
NCT00622284,glm,unadj,(Intercept),sulf,-1.262,0.087,-14.568,0,-1.432,-1.092
NCT00622284,glm,unadj,dpp4,sulf,0.129,0.12,1.068,0.285,-0.107,0.365
NCT00641043,glm,unadj,(Intercept),placebo,-1.765,0.248,-7.109,0,-2.252,-1.278
NCT00641043,glm,unadj,dpp4,placebo,-1.167,0.378,-3.09,0.002,-1.907,-0.427
NCT00654381,glm,unadj,(Intercept),placebo,-3.135,0.59,-5.318,0,-4.291,-1.98
NCT00654381,glm,unadj,dpp4,placebo,0.482,0.633,0.761,0.446,-0.759,1.724
NCT00654381,glm,unadj,agluc,placebo,-0.022,0.722,-0.03,0.976,-1.437,1.394
NCT00740051,glm,unadj,(Intercept),placebo,-1.17,0.27,-4.337,0,-1.699,-0.641
NCT00740051,glm,unadj,dpp4,placebo,-0.143,0.335,-0.427,0.669,-0.801,0.514
NCT00798161,glm,unadj,(Intercept),placebo,-1.099,0.272,-4.037,0,-1.632,-0.565
NCT00798161,glm,unadj,biguanide,placebo,-0.797,0.323,-2.468,0.014,-1.43,-0.164
NCT00798161,glm,unadj,dpp4,placebo,-0.653,0.36,-1.81,0.07,-1.359,0.054
NCT00800683,glm,unadj,(Intercept),placebo,-1.001,0.276,-3.634,0,-1.542,-0.461
NCT00800683,glm,unadj,dpp4,placebo,-0.076,0.4,-0.19,0.849,-0.859,0.707
NCT00819091,glm,unadj,(Intercept),placebo,-2.358,0.395,-5.963,0,-3.133,-1.583
NCT00819091,glm,unadj,dpp4,placebo,-0.33,0.513,-0.643,0.52,-1.335,0.676
NCT00915772,glm,unadj,(Intercept),biguanide,-1.314,0.188,-7.001,0,-1.682,-0.946
NCT00915772,glm,unadj,dpp4,biguanide,-0.044,0.25,-0.178,0.859,-0.535,0.446
NCT00954447,glm,unadj,(Intercept),placebo,-1.555,0.105,-14.749,0,-1.761,-1.348
NCT00954447,glm,unadj,dpp4,placebo,-0.312,0.158,-1.976,0.048,-0.621,-0.003
NCT00996658,glm,unadj,(Intercept),placebo,-1.766,0.3,-5.883,0,-2.354,-1.178
NCT00996658,glm,unadj,dpp4,placebo,-0.45,0.389,-1.155,0.248,-1.213,0.314
NCT01084005,glm,unadj,(Intercept),placebo,-2.695,0.462,-5.832,0,-3.6,-1.789
NCT01084005,glm,unadj,dpp4,placebo,0.497,0.532,0.935,0.35,-0.545,1.54
NCT01087502,glm,unadj,(Intercept),placebo,-1.034,0.206,-5.024,0,-1.437,-0.631
NCT01087502,glm,unadj,dpp4,placebo,-0.629,0.329,-1.911,0.056,-1.275,0.016
NCT01159600,glm,unadj,(Intercept),placebo,-2.152,0.157,-13.662,0,-2.46,-1.843
NCT01159600,glm,unadj,sglt2,placebo,-0.47,0.207,-2.268,0.023,-0.877,-0.064
NCT01164501,glm,unadj,(Intercept),placebo,-1.914,0.167,-11.441,0,-2.242,-1.586
NCT01164501,glm,unadj,sglt2,placebo,-0.082,0.225,-0.364,0.716,-0.523,0.359
NCT01167881,glm,unadj,(Intercept),sulf,-1.126,0.083,-13.525,0,-1.289,-0.963
NCT01167881,glm,unadj,sglt2,sulf,-0.244,0.123,-1.99,0.047,-0.484,-0.004
NCT01177813,glm,unadj,(Intercept),placebo,-1.542,0.174,-8.853,0,-1.884,-1.201
NCT01177813,glm,unadj,sglt2,placebo,-0.834,0.243,-3.43,0.001,-1.31,-0.357
NCT01177813,glm,unadj,dpp4,placebo,-0.952,0.307,-3.106,0.002,-1.553,-0.351
NCT01194830,glm,unadj,(Intercept),placebo,-0.997,0.21,-4.743,0,-1.409,-0.585
NCT01194830,glm,unadj,dpp4,placebo,-0.282,0.32,-0.88,0.379,-0.908,0.345
NCT01210001,glm,unadj,(Intercept),placebo,-2.1,0.25,-8.41,0,-2.59,-1.611
NCT01210001,glm,unadj,sglt2,placebo,-0.501,0.33,-1.517,0.129,-1.148,0.146
NCT01214239,glm,unadj,(Intercept),placebo,-1.981,0.308,-6.433,0,-2.585,-1.377
NCT01214239,glm,unadj,dpp4,placebo,-0.333,0.395,-0.843,0.4,-1.106,0.441
NCT01215097,glm,unadj,(Intercept),placebo,-2.613,0.277,-9.438,0,-3.156,-2.071
NCT01215097,glm,unadj,dpp4,placebo,0.621,0.414,1.5,0.134,-0.191,1.432
NCT01306214,glm,unadj,(Intercept),placebo,-1.622,0.197,-8.254,0,-2.007,-1.237
NCT01306214,glm,unadj,sglt2,placebo,-0.097,0.244,-0.397,0.691,-0.574,0.381
NCT01370005,glm,unadj,(Intercept),placebo,-2.837,0.266,-10.68,0,-3.358,-2.316
NCT01370005,glm,unadj,sglt2,placebo,-0.347,0.343,-1.009,0.313,-1.02,0.326
NCT01422876,glm,unadj,(Intercept),dpp4,-1.796,0.175,-10.254,0,-2.139,-1.453
NCT01422876,glm,unadj,sglt2,dpp4,0.069,0.212,0.324,0.746,-0.347,0.484
NCT01438814,glm,unadj,(Intercept),biguanide,-3.163,0.273,-11.592,0,-3.698,-2.628
NCT01438814,glm,unadj,dpp4,biguanide,0.003,0.386,0.008,0.994,-0.753,0.759
NCT01708902,glm,unadj,(Intercept),biguanide,-2.357,0.209,-11.264,0,-2.767,-1.947
NCT01708902,glm,unadj,dpp4,biguanide,0.323,0.332,0.972,0.331,-0.328,0.974
NCT01719003,glm,unadj,(Intercept),biguanide,-2.018,0.168,-11.992,0,-2.348,-1.688
NCT01719003,glm,unadj,sglt2,biguanide,-0.386,0.259,-1.489,0.137,-0.894,0.122
NCT01734785,glm,unadj,(Intercept),placebo,-3.045,0.458,-6.652,0,-3.942,-2.147
NCT01734785,glm,unadj,sglt2,placebo,0.267,0.54,0.495,0.621,-0.791,1.325
NCT01792518,glm,unadj,(Intercept),placebo,-3.056,0.362,-8.448,0,-3.765,-2.347
NCT01792518,glm,unadj,dpp4,placebo,-0.163,0.529,-0.307,0.759,-1.199,0.874
NCT02182830,glm,unadj,(Intercept),placebo,-1.269,0.267,-4.755,0,-1.791,-0.746
NCT02182830,glm,unadj,sglt2,placebo,-0.149,0.386,-0.385,0.7,-0.905,0.608
NCT02453555,glm,unadj,(Intercept),placebo,-2.234,0.351,-6.368,0,-2.921,-1.546
NCT02453555,glm,unadj,sglt2,placebo,-0.611,0.478,-1.278,0.201,-1.549,0.326
NCT01064687,glm,unadj,(Intercept),placebo,-1.8,0.241,-7.457,0,-2.273,-1.327
NCT01064687,glm,unadj,glp1,placebo,-0.206,0.264,-0.78,0.435,-0.724,0.311
NCT01075282,glm,unadj,(Intercept),insulin,-2.294,0.214,-10.714,0,-2.714,-1.875
NCT01075282,glm,unadj,glp1,insulin,0.204,0.254,0.804,0.421,-0.294,0.702
NCT01126580,glm,unadj,(Intercept),biguanide,-1.354,0.151,-8.952,0,-1.65,-1.058
NCT01126580,glm,unadj,glp1,biguanide,-0.113,0.187,-0.604,0.546,-0.48,0.254
NCT01191268,glm,unadj,(Intercept),insulin,-1.546,0.153,-10.121,0,-1.845,-1.247
NCT01191268,glm,unadj,glp1,insulin,0.11,0.185,0.594,0.552,-0.253,0.473
NCT01558271,glm,unadj,(Intercept),placebo,-1.68,0.328,-5.114,0,-2.323,-1.036
NCT01558271,glm,unadj,glp1,placebo,-0.723,0.373,-1.94,0.052,-1.454,0.007
NCT01621178,glm,unadj,(Intercept),insulin,-1.693,0.199,-8.52,0,-2.082,-1.303
NCT01621178,glm,unadj,glp1,insulin,0.108,0.241,0.449,0.654,-0.364,0.58
NCT01648582,glm,unadj,(Intercept),insulin,-2.236,0.21,-10.63,0,-2.649,-1.824
NCT01648582,glm,unadj,glp1,insulin,0.071,0.256,0.279,0.781,-0.43,0.572
NCT01769378,glm,unadj,(Intercept),placebo,-3.367,0.719,-4.682,0,-4.777,-1.958
NCT01769378,glm,unadj,glp1,placebo,1.128,0.752,1.5,0.134,-0.346,2.601
NCT02152371,glm,unadj,(Intercept),placebo,-2.125,0.265,-8.035,0,-2.644,-1.607
NCT02152371,glm,unadj,glp1,placebo,-0.317,0.401,-0.791,0.429,-1.102,0.468
NCT02597049,glm,unadj,(Intercept),placebo,-3.821,0.584,-6.548,0,-4.965,-2.677
NCT02597049,glm,unadj,glp1,placebo,0.704,0.654,1.077,0.282,-0.578,1.986
NCT02750410,glm,unadj,(Intercept),placebo,-1.355,0.397,-3.416,0.001,-2.132,-0.577
NCT02750410,glm,unadj,glp1,placebo,-1.158,0.527,-2.198,0.028,-2.19,-0.125
NCT00838903,glm,unadj,(Intercept),placebo,-0.201,0.201,-0.998,0.318,-0.595,0.193
NCT00838903,glm,unadj,glp1,placebo,-0.351,0.234,-1.501,0.133,-0.81,0.107
NCT00838903,glm,unadj,dpp4,placebo,-0.328,0.234,-1.403,0.161,-0.786,0.13
NCT00838903,glm,unadj,sulf,placebo,-0.307,0.233,-1.316,0.188,-0.764,0.15
NCT00838916,glm,unadj,(Intercept),insulin,-0.763,0.139,-5.493,0,-1.035,-0.491
NCT00838916,glm,unadj,glp1,insulin,0.299,0.167,1.795,0.073,-0.028,0.625
NCT00839527,glm,unadj,(Intercept),placebo,0.087,0.187,0.466,0.641,-0.279,0.453
NCT00839527,glm,unadj,glp1,placebo,-0.325,0.223,-1.456,0.145,-0.763,0.113
NCT00839527,glm,unadj,thia,placebo,-0.394,0.223,-1.766,0.077,-0.831,0.043
NCT00849017,glm,unadj,(Intercept),placebo,-0.299,0.201,-1.487,0.137,-0.694,0.095
NCT00849017,glm,unadj,glp1,placebo,-0.195,0.249,-0.785,0.432,-0.683,0.292
NCT00849056,glm,unadj,(Intercept),placebo,-0.334,0.165,-2.025,0.043,-0.658,-0.011
NCT00849056,glm,unadj,glp1,placebo,-0.359,0.239,-1.5,0.134,-0.828,0.11
NCT00976391,glm,unadj,(Intercept),insulin,-1.825,0.173,-10.579,0,-2.164,-1.487
NCT00976391,glm,unadj,glp1,insulin,0.074,0.24,0.308,0.758,-0.397,0.545
NCT01098539,glm,unadj,(Intercept),dpp4,-0.957,0.143,-6.705,0,-1.236,-0.677
NCT01098539,glm,unadj,glp1,dpp4,-0.395,0.212,-1.86,0.063,-0.811,0.021
NCT01733758,glm,unadj,(Intercept),placebo,-1.419,0.288,-4.932,0,-1.983,-0.855
NCT01733758,glm,unadj,glp1,placebo,-0.96,0.338,-2.844,0.004,-1.622,-0.299
NCT02229227,glm,unadj,(Intercept),insulin,-1.747,0.139,-12.592,0,-2.019,-1.475
NCT02229227,glm,unadj,glp1,insulin,-0.179,0.204,-0.877,0.381,-0.579,0.221
NCT00968812,glm,unadj,(Intercept),sulf,-0.614,0.095,-6.444,0,-0.8,-0.427
NCT00968812,glm,unadj,sglt2,sulf,-0.177,0.118,-1.505,0.132,-0.408,0.054
NCT01081834,glm,unadj,(Intercept),placebo,-0.828,0.156,-5.304,0,-1.134,-0.522
NCT01081834,glm,unadj,sglt2,placebo,-0.6,0.202,-2.977,0.003,-0.996,-0.205
NCT01106625,glm,unadj,(Intercept),placebo,-0.31,0.162,-1.914,0.056,-0.628,0.007
NCT01106625,glm,unadj,sglt2,placebo,-0.551,0.204,-2.702,0.007,-0.95,-0.151
NCT01106651,glm,unadj,(Intercept),placebo,-0.668,0.137,-4.889,0,-0.936,-0.4
NCT01106651,glm,unadj,sglt2,placebo,-0.479,0.174,-2.757,0.006,-0.819,-0.138
NCT01106677,glm,unadj,(Intercept),placebo,-1.121,0.172,-6.528,0,-1.457,-0.784
NCT01106677,glm,unadj,sglt2,placebo,-0.344,0.196,-1.756,0.079,-0.728,0.04
NCT01106677,glm,unadj,dpp4,placebo,-0.137,0.213,-0.646,0.519,-0.555,0.28
NCT01106690,glm,unadj,(Intercept),placebo,-0.746,0.2,-3.736,0,-1.137,-0.355
NCT01106690,glm,unadj,sglt2,placebo,-0.69,0.261,-2.648,0.008,-1.201,-0.179
NCT01137812,glm,unadj,(Intercept),dpp4,-0.223,0.104,-2.156,0.031,-0.426,-0.02
NCT01137812,glm,unadj,sglt2,dpp4,-0.494,0.151,-3.277,0.001,-0.789,-0.199
NCT01381900,glm,unadj,(Intercept),placebo,-3.183,0.34,-9.356,0,-3.849,-2.516
NCT01381900,glm,unadj,sglt2,placebo,0.257,0.402,0.639,0.523,-0.531,1.044
NCT01809327,glm,unadj,(Intercept),biguanide,-1.857,0.19,-9.771,0,-2.23,-1.485
NCT01809327,glm,unadj,sglt2,biguanide,-0.328,0.244,-1.348,0.178,-0.806,0.149
NCT02025907,glm,unadj,(Intercept),placebo,-1.062,0.219,-4.845,0,-1.492,-0.633
NCT02025907,glm,unadj,sglt2,placebo,-1.028,0.376,-2.73,0.006,-1.765,-0.29
NCT00688701,glm,unadj,(Intercept),placebo,-2.53,0.346,-7.305,0,-3.209,-1.851
NCT00688701,glm,unadj,glp1,placebo,0.195,0.415,0.469,0.639,-0.619,1.008
NCT00712673,glm,unadj,(Intercept),placebo,-1.114,0.178,-6.267,0,-1.463,-0.766
NCT00712673,glm,unadj,glp1,placebo,0.011,0.205,0.051,0.959,-0.392,0.413
NCT00713830,glm,unadj,(Intercept),placebo,-0.911,0.131,-6.97,0,-1.168,-0.655
NCT00713830,glm,unadj,glp1,placebo,0.1,0.159,0.632,0.528,-0.211,0.412
NCT00715624,glm,unadj,(Intercept),placebo,-0.794,0.167,-4.749,0,-1.121,-0.466
NCT00715624,glm,unadj,glp1,placebo,0.169,0.203,0.829,0.407,-0.23,0.567
NCT00763451,glm,unadj,(Intercept),placebo,-1.348,0.195,-6.897,0,-1.731,-0.965
NCT00763451,glm,unadj,glp1,placebo,0.067,0.238,0.281,0.779,-0.399,0.532
NCT00763815,glm,unadj,(Intercept),placebo,-0.74,0.169,-4.391,0,-1.07,-0.41
NCT00763815,glm,unadj,glp1,placebo,-0.306,0.211,-1.449,0.147,-0.719,0.108
NCT00866658,glm,unadj,(Intercept),placebo,-2.405,0.29,-8.304,0,-2.972,-1.837
NCT00866658,glm,unadj,glp1,placebo,0.51,0.376,1.357,0.175,-0.227,1.247
NCT00975286,glm,unadj,(Intercept),placebo,-2.867,0.297,-9.661,0,-3.449,-2.285
NCT00975286,glm,unadj,glp1,placebo,0.966,0.357,2.704,0.007,0.266,1.667
NCT00976937,glm,unadj,(Intercept),dpp4,-2.613,0.312,-8.364,0,-3.225,-2
NCT00976937,glm,unadj,glp1,dpp4,0.43,0.409,1.051,0.293,-0.372,1.231
NCT01169779,glm,unadj,(Intercept),placebo,-2.912,0.325,-8.97,0,-3.549,-2.276
NCT01169779,glm,unadj,glp1,placebo,0.558,0.412,1.354,0.176,-0.25,1.366
NCT01632163,glm,unadj,(Intercept),placebo,-1.819,0.254,-7.159,0,-2.317,-1.321
NCT01632163,glm,unadj,glp1,placebo,-0.711,0.43,-1.655,0.098,-1.553,0.131
NCT01768559,glm,unadj,(Intercept),insulin,-2.971,0.19,-15.607,0,-3.344,-2.598
NCT01768559,glm,unadj,glp1,insulin,0.748,0.273,2.74,0.006,0.213,1.282
NCT01798706,glm,unadj,(Intercept),placebo,-1.967,0.239,-8.24,0,-2.435,-1.499
NCT01798706,glm,unadj,glp1,placebo,-0.176,0.35,-0.504,0.615,-0.863,0.51
NCT00286429,glm,unadj,(Intercept),placebo,0.255,0.18,1.422,0.155,-0.097,0.607
NCT00286429,glm,unadj,dpp4,placebo,-0.766,0.221,-3.464,0.001,-1.2,-0.333
NCT00286442,glm,unadj,(Intercept),placebo,-0.843,0.215,-3.923,0,-1.264,-0.422
NCT00286442,glm,unadj,dpp4,placebo,-0.727,0.251,-2.891,0.004,-1.219,-0.234
NCT00286455,glm,unadj,(Intercept),placebo,-0.553,0.262,-2.115,0.034,-1.066,-0.04
NCT00286455,glm,unadj,dpp4,placebo,-0.953,0.307,-3.101,0.002,-1.555,-0.351
NCT00286468,glm,unadj,(Intercept),placebo,-0.516,0.208,-2.485,0.013,-0.923,-0.109
NCT00286468,glm,unadj,dpp4,placebo,-0.586,0.238,-2.465,0.014,-1.052,-0.12
NCT00286494,glm,unadj,(Intercept),placebo,-1.085,0.236,-4.594,0,-1.547,-0.622
NCT00286494,glm,unadj,dpp4,placebo,-0.305,0.268,-1.138,0.255,-0.83,0.22
