nct_id,modeltype,row,col,value
NCT01214239,glm_unadj,(Intercept),dpp4,-0.78
NCT01215097,glm_unadj,(Intercept),dpp4,-0.669
NCT01306214,glm_unadj,(Intercept),sglt2,-0.807
NCT01370005,glm_unadj,(Intercept),sglt2,-0.774
NCT01422876,glm_unadj,(Intercept),sglt2,-0.827
NCT01438814,glm_unadj,(Intercept),dpp4,-0.707
NCT01708902,glm_unadj,(Intercept),dpp4,-0.63
NCT01719003,glm_unadj,(Intercept),sglt2,-0.649
NCT01734785,glm_unadj,(Intercept),sglt2,-0.848
NCT01792518,glm_unadj,(Intercept),dpp4,-0.684
NCT02182830,glm_unadj,(Intercept),sglt2,-0.692
NCT02453555,glm_unadj,(Intercept),sglt2,-0.733
NCT01064687,glm_unadj,(Intercept),glp1,-0.914
NCT01075282,glm_unadj,(Intercept),glp1,-0.843
NCT01126580,glm_unadj,(Intercept),glp1,-0.808
NCT01191268,glm_unadj,(Intercept),glp1,-0.825
NCT01558271,glm_unadj,(Intercept),glp1,-0.881
NCT01621178,glm_unadj,(Intercept),glp1,-0.825
NCT01648582,glm_unadj,(Intercept),glp1,-0.823
NCT01769378,glm_unadj,(Intercept),glp1,-0.957
NCT02152371,glm_unadj,(Intercept),glp1,-0.66
NCT02597049,glm_unadj,(Intercept),glp1,-0.892
NCT02750410,glm_unadj,(Intercept),glp1,-0.753
NCT00838903,glm_unadj,(Intercept),glp1,-0.859
NCT00838903,glm_unadj,(Intercept),dpp4,-0.86
NCT00838903,glm_unadj,glp1,dpp4,0.739
NCT00838903,glm_unadj,(Intercept),sulf,-0.862
NCT00838903,glm_unadj,glp1,sulf,0.741
NCT00838903,glm_unadj,dpp4,sulf,0.742
NCT00838916,glm_unadj,(Intercept),glp1,-0.834
NCT00839527,glm_unadj,(Intercept),glp1,-0.836
NCT00839527,glm_unadj,(Intercept),thia,-0.837
NCT00839527,glm_unadj,glp1,thia,0.7
NCT00849017,glm_unadj,(Intercept),glp1,-0.808
NCT00849056,glm_unadj,(Intercept),glp1,-0.69
NCT00976391,glm_unadj,(Intercept),glp1,-0.718
NCT01098539,glm_unadj,(Intercept),glp1,-0.672
NCT01733758,glm_unadj,(Intercept),glp1,-0.852
NCT02229227,glm_unadj,(Intercept),glp1,-0.679
NCT00968812,glm_unadj,(Intercept),sglt2,-0.808
NCT01081834,glm_unadj,(Intercept),sglt2,-0.774
NCT01106625,glm_unadj,(Intercept),sglt2,-0.795
NCT01106651,glm_unadj,(Intercept),sglt2,-0.787
NCT01106677,glm_unadj,(Intercept),sglt2,-0.876
NCT01106677,glm_unadj,(Intercept),dpp4,-0.806
NCT01106677,glm_unadj,sglt2,dpp4,0.706
NCT01106690,glm_unadj,(Intercept),sglt2,-0.766
NCT01137812,glm_unadj,(Intercept),sglt2,-0.687
NCT01381900,glm_unadj,(Intercept),sglt2,-0.846
NCT01809327,glm_unadj,(Intercept),sglt2,-0.781
NCT02025907,glm_unadj,(Intercept),sglt2,-0.582
NCT00688701,glm_unadj,(Intercept),glp1,-0.835
NCT00712673,glm_unadj,(Intercept),glp1,-0.867
NCT00713830,glm_unadj,(Intercept),glp1,-0.822
NCT00715624,glm_unadj,(Intercept),glp1,-0.821
NCT00763451,glm_unadj,(Intercept),glp1,-0.823
NCT00763815,glm_unadj,(Intercept),glp1,-0.799
NCT00866658,glm_unadj,(Intercept),glp1,-0.77
NCT00975286,glm_unadj,(Intercept),glp1,-0.83
NCT00976937,glm_unadj,(Intercept),glp1,-0.764
NCT01169779,glm_unadj,(Intercept),glp1,-0.788
NCT01632163,glm_unadj,(Intercept),glp1,-0.592
NCT01768559,glm_unadj,(Intercept),glp1,-0.698
NCT01798706,glm_unadj,(Intercept),glp1,-0.682
NCT00286429,glm_unadj,(Intercept),dpp4,-0.812
NCT00286442,glm_unadj,(Intercept),dpp4,-0.855
NCT00286455,glm_unadj,(Intercept),dpp4,-0.851
NCT00286468,glm_unadj,(Intercept),dpp4,-0.874
NCT00286494,glm_unadj,(Intercept),dpp4,-0.881
NCT00707993,glm_unadj,(Intercept),dpp4,-0.706
NCT00856284,glm_unadj,(Intercept),dpp4,-0.817
NCT01023581,glm_unadj,(Intercept),biguanide,-0.756
NCT01023581,glm_unadj,(Intercept),dpp4,-0.816
NCT01023581,glm_unadj,biguanide,dpp4,0.617
NCT01289119,glm_unadj,(Intercept),dpp4,-0.683
NCT01632007,glm_unadj,(Intercept),dpp4,-0.835
NCT01890122,glm_unadj,(Intercept),dpp4,-0.653
NCT01890122,glm_unadj,(Intercept),biguanide,-0.62
NCT01890122,glm_unadj,dpp4,biguanide,0.405
NCT01217892,cox_adj,sex,age10,-0.013
NCT01606007,cox_adj,sex,age10,-0.094
NCT01619059,cox_adj,sex,age10,0.041
NCT02471404,cox_adj,sex,age10,0.006
NCT02681094,cox_adj,sex,age10,0.135
NCT00601250,cox_adj,sex,age10,0.065
NCT00602472,cox_adj,sex,age10,0.033
NCT00621140,cox_adj,sex,age10,-0.045
NCT00622284,cox_adj,sex,age10,0.009
NCT00641043,cox_adj,sex,age10,-0.068
NCT00654381,cox_adj,sex,age10,0.017
NCT00740051,cox_adj,sex,age10,0.05
NCT00798161,cox_adj,sex,age10,0.047
NCT00800683,cox_adj,sex,age10,0.101
NCT00819091,cox_adj,sex,age10,-0.01
NCT00915772,cox_adj,sex,age10,0.064
NCT00954447,cox_adj,sex,age10,0.04
NCT00996658,cox_adj,sex,age10,-0.038
NCT01084005,cox_adj,sex,age10,0.001
NCT01087502,cox_adj,sex,age10,0.069
NCT01159600,cox_adj,sex,age10,0.001
NCT01164501,cox_adj,sex,age10,-0.022
NCT01167881,cox_adj,sex,age10,-0.061
NCT01177813,cox_adj,sex,age10,0.053
NCT01194830,cox_adj,sex,age10,-0.031
NCT01210001,cox_adj,sex,age10,-0.007
NCT01214239,cox_adj,sex,age10,0.161
NCT01215097,cox_adj,sex,age10,0.074
NCT01306214,cox_adj,sex,age10,-0.043
NCT01370005,cox_adj,sex,age10,-0.041
NCT01422876,cox_adj,sex,age10,0.011
NCT01438814,cox_adj,sex,age10,-0.002
NCT01708902,cox_adj,sex,age10,0.044
NCT01719003,cox_adj,sex,age10,-0.109
NCT01734785,cox_adj,sex,age10,-0.042
NCT01792518,cox_adj,sex,age10,-0.089
NCT02182830,cox_adj,sex,age10,-0.159
NCT02453555,cox_adj,sex,age10,0.143
NCT01064687,cox_adj,sex,age10,-0.039
NCT01075282,cox_adj,sex,age10,-0.055
NCT01126580,cox_adj,sex,age10,-0.063
NCT01191268,cox_adj,sex,age10,-0.04
NCT01558271,cox_adj,sex,age10,-0.016
NCT01621178,cox_adj,sex,age10,-0.012
NCT01648582,cox_adj,sex,age10,0.03
NCT01769378,cox_adj,sex,age10,0.041
NCT02152371,cox_adj,sex,age10,0.116
NCT02597049,cox_adj,sex,age10,-0.065
NCT02750410,cox_adj,sex,age10,-0.017
NCT00838903,cox_adj,sex,age10,-0.014
NCT00838916,cox_adj,sex,age10,-0.045
NCT00839527,cox_adj,sex,age10,-0.045
NCT00849017,cox_adj,sex,age10,-0.13
NCT00849056,cox_adj,sex,age10,-0.099
NCT00976391,cox_adj,sex,age10,0.028
NCT01098539,cox_adj,sex,age10,-0.1
NCT01733758,cox_adj,sex,age10,0.112
NCT02229227,cox_adj,sex,age10,-0.05
NCT00968812,cox_adj,sex,age10,-0.021
NCT01081834,cox_adj,sex,age10,-0.023
NCT01106625,cox_adj,sex,age10,-0.014
NCT01106651,cox_adj,sex,age10,-0.068
NCT01106677,cox_adj,sex,age10,0.048
NCT01106690,cox_adj,sex,age10,-0.178
NCT01137812,cox_adj,sex,age10,-0.013
NCT01381900,cox_adj,sex,age10,0.087
NCT01809327,cox_adj,sex,age10,0.121
NCT02025907,cox_adj,sex,age10,0.048
NCT00688701,cox_adj,sex,age10,0.008
NCT00712673,cox_adj,sex,age10,-0.097
NCT00713830,cox_adj,sex,age10,0.07
NCT00715624,cox_adj,sex,age10,-0.027
NCT00763451,cox_adj,sex,age10,0.039
NCT00763815,cox_adj,sex,age10,-0.093
NCT00866658,cox_adj,sex,age10,0.043
NCT00975286,cox_adj,sex,age10,-0.024
NCT00976937,cox_adj,sex,age10,0.164
NCT01169779,cox_adj,sex,age10,0.195
NCT01632163,cox_adj,sex,age10,0.162
NCT01768559,cox_adj,sex,age10,-0.052
NCT01798706,cox_adj,sex,age10,0.028
NCT00286429,cox_adj,sex,age10,-0.071
NCT00286442,cox_adj,sex,age10,-0.011
NCT00286455,cox_adj,sex,age10,-0.037
NCT00286468,cox_adj,sex,age10,-0.003
NCT00286494,cox_adj,sex,age10,-0.041
NCT00707993,cox_adj,sex,age10,-0.004
NCT00856284,cox_adj,sex,age10,-0.015
NCT01023581,cox_adj,sex,age10,0.04
NCT01289119,cox_adj,sex,age10,0.211
NCT01632007,cox_adj,sex,age10,0.04
NCT01890122,cox_adj,sex,age10,0.068
NCT01217892,glm_adj,(Intercept),sex,-0.136
NCT01217892,glm_adj,(Intercept),age10,-0.975
NCT01217892,glm_adj,sex,age10,-0.023
NCT01606007,glm_adj,(Intercept),sex,-0.101
NCT01606007,glm_adj,(Intercept),age10,-0.962
NCT01606007,glm_adj,sex,age10,-0.085
NCT01619059,glm_adj,(Intercept),sex,-0.219
NCT01619059,glm_adj,(Intercept),age10,-0.972
NCT01619059,glm_adj,sex,age10,0.05
NCT02471404,glm_adj,(Intercept),sex,-0.293
NCT02471404,glm_adj,(Intercept),age10,-0.947
NCT02471404,glm_adj,sex,age10,0.009
NCT02681094,glm_adj,(Intercept),sex,-0.338
NCT02681094,glm_adj,(Intercept),age10,-0.951
NCT02681094,glm_adj,sex,age10,0.104
NCT00601250,glm_adj,(Intercept),sex,-0.231
NCT00601250,glm_adj,(Intercept),age10,-0.97
NCT00601250,glm_adj,sex,age10,0.064
NCT00602472,glm_adj,(Intercept),sex,-0.192
NCT00602472,glm_adj,(Intercept),age10,-0.972
NCT00602472,glm_adj,sex,age10,0.025
NCT00621140,glm_adj,(Intercept),sex,-0.193
NCT00621140,glm_adj,(Intercept),age10,-0.958
NCT00621140,glm_adj,sex,age10,-0.02
NCT00622284,glm_adj,(Intercept),sex,-0.202
NCT00622284,glm_adj,(Intercept),age10,-0.971
NCT00622284,glm_adj,sex,age10,0.018
NCT00641043,glm_adj,(Intercept),sex,-0.158
NCT00641043,glm_adj,(Intercept),age10,-0.968
NCT00641043,glm_adj,sex,age10,-0.041
NCT00654381,glm_adj,(Intercept),sex,-0.254
NCT00654381,glm_adj,(Intercept),age10,-0.957
NCT00654381,glm_adj,sex,age10,0.008
NCT00740051,glm_adj,(Intercept),sex,-0.195
NCT00740051,glm_adj,(Intercept),age10,-0.963
NCT00740051,glm_adj,sex,age10,-0.008
NCT00798161,glm_adj,(Intercept),sex,-0.256
NCT00798161,glm_adj,(Intercept),age10,-0.962
NCT00798161,glm_adj,sex,age10,0.057
NCT00800683,glm_adj,(Intercept),sex,-0.273
NCT00800683,glm_adj,(Intercept),age10,-0.966
NCT00800683,glm_adj,sex,age10,0.074
NCT00819091,glm_adj,(Intercept),sex,-0.172
NCT00819091,glm_adj,(Intercept),age10,-0.972
NCT00819091,glm_adj,sex,age10,0.001
NCT00915772,glm_adj,(Intercept),sex,-0.245
NCT00915772,glm_adj,(Intercept),age10,-0.967
NCT00915772,glm_adj,sex,age10,0.065
NCT00954447,glm_adj,(Intercept),sex,-0.207
NCT00954447,glm_adj,(Intercept),age10,-0.971
NCT00954447,glm_adj,sex,age10,0.031
NCT00996658,glm_adj,(Intercept),sex,-0.17
NCT00996658,glm_adj,(Intercept),age10,-0.969
NCT00996658,glm_adj,sex,age10,-0.022
NCT01084005,glm_adj,(Intercept),sex,-0.069
NCT01084005,glm_adj,(Intercept),age10,-0.996
NCT01084005,glm_adj,sex,age10,-0.006
NCT01087502,glm_adj,(Intercept),sex,-0.286
NCT01087502,glm_adj,(Intercept),age10,-0.974
NCT01087502,glm_adj,sex,age10,0.11
NCT01159600,glm_adj,(Intercept),sex,-0.164
NCT01159600,glm_adj,(Intercept),age10,-0.974
NCT01159600,glm_adj,sex,age10,0.006
NCT01164501,glm_adj,(Intercept),sex,-0.157
NCT01164501,glm_adj,(Intercept),age10,-0.974
NCT01164501,glm_adj,sex,age10,-0.025
NCT01167881,glm_adj,(Intercept),sex,-0.155
NCT01167881,glm_adj,(Intercept),age10,-0.962
NCT01167881,glm_adj,sex,age10,-0.051
NCT01177813,glm_adj,(Intercept),sex,-0.307
NCT01177813,glm_adj,(Intercept),age10,-0.95
NCT01177813,glm_adj,sex,age10,0.064
NCT01194830,glm_adj,(Intercept),sex,-0.186
NCT01194830,glm_adj,(Intercept),age10,-0.965
NCT01194830,glm_adj,sex,age10,-0.005
NCT01210001,glm_adj,(Intercept),sex,-0.179
NCT01210001,glm_adj,(Intercept),age10,-0.967
NCT01210001,glm_adj,sex,age10,-0.011
NCT01214239,glm_adj,(Intercept),sex,-0.312
NCT01214239,glm_adj,(Intercept),age10,-0.967
NCT01214239,glm_adj,sex,age10,0.125
NCT01215097,glm_adj,(Intercept),sex,-0.245
NCT01215097,glm_adj,(Intercept),age10,-0.966
NCT01215097,glm_adj,sex,age10,0.066
NCT01306214,glm_adj,(Intercept),sex,-0.111
NCT01306214,glm_adj,(Intercept),age10,-0.974
NCT01306214,glm_adj,sex,age10,-0.049
NCT01370005,glm_adj,(Intercept),sex,-0.14
NCT01370005,glm_adj,(Intercept),age10,-0.972
NCT01370005,glm_adj,sex,age10,-0.033
NCT01422876,glm_adj,(Intercept),sex,-0.22
NCT01422876,glm_adj,(Intercept),age10,-0.961
NCT01422876,glm_adj,sex,age10,0.014
NCT01438814,glm_adj,(Intercept),sex,-0.208
NCT01438814,glm_adj,(Intercept),age10,-0.953
NCT01438814,glm_adj,sex,age10,-0.021
NCT01708902,glm_adj,(Intercept),sex,-0.269
NCT01708902,glm_adj,(Intercept),age10,-0.959
NCT01708902,glm_adj,sex,age10,0.062
NCT01719003,glm_adj,(Intercept),sex,-0.094
NCT01719003,glm_adj,(Intercept),age10,-0.96
NCT01719003,glm_adj,sex,age10,-0.102
NCT01734785,glm_adj,(Intercept),sex,-0.071
NCT01734785,glm_adj,(Intercept),age10,-0.978
NCT01734785,glm_adj,sex,age10,-0.043
NCT01792518,glm_adj,(Intercept),sex,-0.208
NCT01792518,glm_adj,(Intercept),age10,-0.951
NCT01792518,glm_adj,sex,age10,-0.06
NCT02182830,glm_adj,(Intercept),sex,-0.084
NCT02182830,glm_adj,(Intercept),age10,-0.971
NCT02182830,glm_adj,sex,age10,-0.093
NCT02453555,glm_adj,(Intercept),sex,-0.349
NCT02453555,glm_adj,(Intercept),age10,-0.967
NCT02453555,glm_adj,sex,age10,0.142
NCT01064687,glm_adj,(Intercept),sex,-0.167
NCT01064687,glm_adj,(Intercept),age10,-0.961
NCT01064687,glm_adj,sex,age10,-0.049
NCT01075282,glm_adj,(Intercept),sex,-0.098
NCT01075282,glm_adj,(Intercept),age10,-0.974
NCT01075282,glm_adj,sex,age10,-0.05
NCT01126580,glm_adj,(Intercept),sex,-0.102
NCT01126580,glm_adj,(Intercept),age10,-0.968
NCT01126580,glm_adj,sex,age10,-0.066
NCT01191268,glm_adj,(Intercept),sex,-0.13
NCT01191268,glm_adj,(Intercept),age10,-0.973
NCT01191268,glm_adj,sex,age10,-0.04
NCT01558271,glm_adj,(Intercept),sex,-0.254
NCT01558271,glm_adj,(Intercept),age10,-0.949
NCT01558271,glm_adj,sex,age10,-0.016
NCT01621178,glm_adj,(Intercept),sex,-0.129
NCT01621178,glm_adj,(Intercept),age10,-0.979
NCT01621178,glm_adj,sex,age10,-0.027
NCT01648582,glm_adj,(Intercept),sex,-0.242
NCT01648582,glm_adj,(Intercept),age10,-0.971
NCT01648582,glm_adj,sex,age10,0.068
NCT01769378,glm_adj,(Intercept),sex,-0.283
NCT01769378,glm_adj,(Intercept),age10,-0.956
NCT01769378,glm_adj,sex,age10,0.04
NCT02152371,glm_adj,(Intercept),sex,-0.306
NCT02152371,glm_adj,(Intercept),age10,-0.966
NCT02152371,glm_adj,sex,age10,0.1
NCT02597049,glm_adj,(Intercept),sex,-0.129
NCT02597049,glm_adj,(Intercept),age10,-0.977
NCT02597049,glm_adj,sex,age10,0.005
NCT02750410,glm_adj,(Intercept),sex,-0.253
NCT02750410,glm_adj,(Intercept),age10,-0.947
NCT02750410,glm_adj,sex,age10,-0.027
NCT00838903,glm_adj,(Intercept),sex,-0.172
NCT00838903,glm_adj,(Intercept),age10,-0.969
NCT00838903,glm_adj,sex,age10,0.001
NCT00838916,glm_adj,(Intercept),sex,-0.136
NCT00838916,glm_adj,(Intercept),age10,-0.967
NCT00838916,glm_adj,sex,age10,-0.056
NCT00839527,glm_adj,(Intercept),sex,-0.128
NCT00839527,glm_adj,(Intercept),age10,-0.97
NCT00839527,glm_adj,sex,age10,-0.05
NCT00849017,glm_adj,(Intercept),sex,-0.133
NCT00849017,glm_adj,(Intercept),age10,-0.95
NCT00849017,glm_adj,sex,age10,-0.105
NCT00849056,glm_adj,(Intercept),sex,-0.135
NCT00849056,glm_adj,(Intercept),age10,-0.965
NCT00849056,glm_adj,sex,age10,-0.066
NCT00976391,glm_adj,(Intercept),sex,-0.171
NCT00976391,glm_adj,(Intercept),age10,-0.974
NCT00976391,glm_adj,sex,age10,0.014
NCT01098539,glm_adj,(Intercept),sex,-0.053
NCT01098539,glm_adj,(Intercept),age10,-0.981
NCT01098539,glm_adj,sex,age10,-0.083
NCT01733758,glm_adj,(Intercept),sex,-0.343
NCT01733758,glm_adj,(Intercept),age10,-0.958
NCT01733758,glm_adj,sex,age10,0.11
NCT02229227,glm_adj,(Intercept),sex,-0.102
NCT02229227,glm_adj,(Intercept),age10,-0.976
NCT02229227,glm_adj,sex,age10,-0.049
NCT00968812,glm_adj,(Intercept),sex,-0.17
NCT00968812,glm_adj,(Intercept),age10,-0.972
NCT00968812,glm_adj,sex,age10,0.003
NCT01081834,glm_adj,(Intercept),sex,-0.169
NCT01081834,glm_adj,(Intercept),age10,-0.969
NCT01081834,glm_adj,sex,age10,0.009
NCT01106625,glm_adj,(Intercept),sex,-0.139
NCT01106625,glm_adj,(Intercept),age10,-0.973
NCT01106625,glm_adj,sex,age10,-0.029
NCT01106651,glm_adj,(Intercept),sex,-0.035
NCT01106651,glm_adj,(Intercept),age10,-0.99
NCT01106651,glm_adj,sex,age10,-0.069
NCT01106677,glm_adj,(Intercept),sex,-0.175
NCT01106677,glm_adj,(Intercept),age10,-0.972
NCT01106677,glm_adj,sex,age10,0.017
NCT01106690,glm_adj,(Intercept),sex,-0.079
NCT01106690,glm_adj,(Intercept),age10,-0.959
NCT01106690,glm_adj,sex,age10,-0.152
NCT01137812,glm_adj,(Intercept),sex,-0.184
NCT01137812,glm_adj,(Intercept),age10,-0.971
NCT01137812,glm_adj,sex,age10,0.006
NCT01381900,glm_adj,(Intercept),sex,-0.328
NCT01381900,glm_adj,(Intercept),age10,-0.949
NCT01381900,glm_adj,sex,age10,0.092
NCT01809327,glm_adj,(Intercept),sex,-0.308
NCT01809327,glm_adj,(Intercept),age10,-0.959
NCT01809327,glm_adj,sex,age10,0.094
NCT02025907,glm_adj,(Intercept),sex,-0.236
NCT02025907,glm_adj,(Intercept),age10,-0.96
NCT02025907,glm_adj,sex,age10,0.014
NCT00688701,glm_adj,(Intercept),sex,-0.187
NCT00688701,glm_adj,(Intercept),age10,-0.963
NCT00688701,glm_adj,sex,age10,-0.003
NCT00712673,glm_adj,(Intercept),sex,-0.081
NCT00712673,glm_adj,(Intercept),age10,-0.975
NCT00712673,glm_adj,sex,age10,-0.066
NCT00713830,glm_adj,(Intercept),sex,-0.208
NCT00713830,glm_adj,(Intercept),age10,-0.972
NCT00713830,glm_adj,sex,age10,0.045
NCT00715624,glm_adj,(Intercept),sex,-0.123
NCT00715624,glm_adj,(Intercept),age10,-0.974
NCT00715624,glm_adj,sex,age10,-0.031
NCT00763451,glm_adj,(Intercept),sex,-0.179
NCT00763451,glm_adj,(Intercept),age10,-0.978
NCT00763451,glm_adj,sex,age10,0.042
NCT00763815,glm_adj,(Intercept),sex,-0.1
NCT00763815,glm_adj,(Intercept),age10,-0.969
NCT00763815,glm_adj,sex,age10,-0.082
NCT00866658,glm_adj,(Intercept),sex,-0.165
NCT00866658,glm_adj,(Intercept),age10,-0.983
NCT00866658,glm_adj,sex,age10,0.042
NCT00975286,glm_adj,(Intercept),sex,-0.166
NCT00975286,glm_adj,(Intercept),age10,-0.968
NCT00975286,glm_adj,sex,age10,-0.017
NCT00976937,glm_adj,(Intercept),sex,-0.252
NCT00976937,glm_adj,(Intercept),age10,-0.989
NCT00976937,glm_adj,sex,age10,0.156
NCT01169779,glm_adj,(Intercept),sex,-0.347
NCT01169779,glm_adj,(Intercept),age10,-0.973
NCT01169779,glm_adj,sex,age10,0.196
NCT01632163,glm_adj,(Intercept),sex,-0.319
NCT01632163,glm_adj,(Intercept),age10,-0.975
NCT01632163,glm_adj,sex,age10,0.169
NCT01768559,glm_adj,(Intercept),sex,-0.08
NCT01768559,glm_adj,(Intercept),age10,-0.982
NCT01768559,glm_adj,sex,age10,-0.053
NCT01798706,glm_adj,(Intercept),sex,-0.055
NCT01798706,glm_adj,(Intercept),age10,-0.997
NCT01798706,glm_adj,sex,age10,0.006
NCT00286429,glm_adj,(Intercept),sex,-0.058
NCT00286429,glm_adj,(Intercept),age10,-0.974
NCT00286429,glm_adj,sex,age10,-0.087
NCT00286442,glm_adj,(Intercept),sex,-0.148
NCT00286442,glm_adj,(Intercept),age10,-0.966
NCT00286442,glm_adj,sex,age10,-0.033
NCT00286455,glm_adj,(Intercept),sex,-0.154
NCT00286455,glm_adj,(Intercept),age10,-0.96
NCT00286455,glm_adj,sex,age10,-0.048
NCT00286468,glm_adj,(Intercept),sex,-0.209
NCT00286468,glm_adj,(Intercept),age10,-0.965
NCT00286468,glm_adj,sex,age10,0.033
NCT00286494,glm_adj,(Intercept),sex,-0.192
NCT00286494,glm_adj,(Intercept),age10,-0.964
NCT00286494,glm_adj,sex,age10,-0.008
NCT00707993,glm_adj,(Intercept),sex,-0.039
NCT00707993,glm_adj,(Intercept),age10,-0.997
NCT00707993,glm_adj,sex,age10,-0.015
NCT00856284,glm_adj,(Intercept),sex,-0.16
NCT00856284,glm_adj,(Intercept),age10,-0.971
NCT00856284,glm_adj,sex,age10,-0.009
NCT01023581,glm_adj,(Intercept),sex,-0.228
NCT01023581,glm_adj,(Intercept),age10,-0.965
NCT01023581,glm_adj,sex,age10,0.044
NCT01289119,glm_adj,(Intercept),sex,-0.4
NCT01289119,glm_adj,(Intercept),age10,-0.963
NCT01289119,glm_adj,sex,age10,0.211
NCT01632007,glm_adj,(Intercept),sex,-0.541
NCT01632007,glm_adj,(Intercept),age10,-0.854
NCT01632007,glm_adj,sex,age10,0.045
NCT01890122,glm_adj,(Intercept),sex,-0.298
NCT01890122,glm_adj,(Intercept),age10,-0.966
NCT01890122,glm_adj,sex,age10,0.118
NCT01217892,cox_int,sglt2,sex,0.141
NCT01217892,cox_int,sglt2,age10,0.733
NCT01217892,cox_int,sex,age10,0.083
NCT01217892,cox_int,sglt2,sglt2:sex,-0.157
NCT01217892,cox_int,sex,sglt2:sex,-0.864
NCT01217892,cox_int,age10,sglt2:sex,-0.071
NCT01217892,cox_int,sglt2,sglt2:age10,-0.973
NCT01217892,cox_int,sex,sglt2:age10,-0.065
NCT01217892,cox_int,age10,sglt2:age10,-0.794
NCT01217892,cox_int,sglt2:sex,sglt2:age10,0.033
NCT01606007,cox_int,sglt2,sex,0.053
NCT01606007,cox_int,sglt2,age10,0.638
NCT01606007,cox_int,sex,age10,-0.081
NCT01606007,cox_int,sglt2,sglt2:sex,-0.092
NCT01606007,cox_int,sex,sglt2:sex,-0.739
NCT01606007,cox_int,age10,sglt2:sex,0.06
NCT01606007,cox_int,sglt2,sglt2:age10,-0.96
NCT01606007,cox_int,sex,sglt2:age10,0.054
NCT01606007,cox_int,age10,sglt2:age10,-0.665
NCT01606007,cox_int,sglt2:sex,sglt2:age10,-0.093
NCT01619059,cox_int,dpp4,sex,0.232
NCT01619059,cox_int,dpp4,age10,0.872
NCT01619059,cox_int,sex,age10,0.14
NCT01619059,cox_int,dpp4,dpp4:sex,-0.244
NCT01619059,cox_int,sex,dpp4:sex,-0.776
NCT01619059,cox_int,age10,dpp4:sex,-0.108
NCT01619059,cox_int,dpp4,dpp4:age10,-0.974
NCT01619059,cox_int,sex,dpp4:age10,-0.118
NCT01619059,cox_int,age10,dpp4:age10,-0.845
NCT01619059,cox_int,dpp4:sex,dpp4:age10,0.091
NCT02471404,cox_int,sglt2,sex,0.124
NCT02471404,cox_int,sglt2,age10,0.676
NCT02471404,cox_int,sex,age10,-0.105
NCT02471404,cox_int,sglt2,sglt2:sex,-0.233
NCT02471404,cox_int,sex,sglt2:sex,-0.719
NCT02471404,cox_int,age10,sglt2:sex,0.075
NCT02471404,cox_int,sglt2,sglt2:age10,-0.946
NCT02471404,cox_int,sex,sglt2:age10,0.08
NCT02471404,cox_int,age10,sglt2:age10,-0.761
NCT02471404,cox_int,sglt2:sex,sglt2:age10,-0.054
NCT02681094,cox_int,sglt2,sex,0.356
