nct_id,modeltype,statistic.log,p.value.log,statistic.sc,p.value.sc,statistic.wald,p.value.wald,statistic.robust,p.value.robust,r.squared,r.squared.max,concordance,std.error.concordance,logLik,AIC,BIC,nobs,null.deviance,df.null,deviance,df.residual
NCT01164501,cox_unadj,0.181,0.671,0.182,0.67,0.18,0.67,NA,NA,0,0.798,0.51,0.026,-588.463,1178.926,1181.437,737,NA,NA,NA,NA
NCT01167881,cox_unadj,4.31,0.038,4.303,0.038,4.29,0.038,NA,NA,0.003,0.959,0.524,0.014,-2470.812,4943.623,4947.47,1545,NA,NA,NA,NA
NCT01177813,cox_unadj,14.184,0.001,15.861,0,15.02,0.001,NA,NA,0.016,0.754,0.593,0.028,-622.749,1249.498,1254.605,897,NA,NA,NA,NA
NCT01194830,cox_unadj,0.689,0.406,0.685,0.408,0.68,0.409,NA,NA,0.003,0.924,0.527,0.034,-277.575,557.15,559.12,216,NA,NA,NA,NA
NCT01210001,cox_unadj,1.498,0.221,1.557,0.212,1.54,0.215,NA,NA,0.003,0.624,0.548,0.039,-242.865,487.73,489.443,498,NA,NA,NA,NA
NCT01214239,cox_unadj,0.744,0.388,0.77,0.38,0.76,0.382,NA,NA,0.002,0.674,0.543,0.045,-167.148,336.297,337.698,299,NA,NA,NA,NA
NCT01215097,cox_unadj,2.209,0.137,2.342,0.126,2.27,0.132,NA,NA,0.007,0.615,0.56,0.049,-144.487,290.974,292.232,305,NA,NA,NA,NA
NCT01306214,cox_unadj,0.108,0.743,0.108,0.742,0.11,0.742,NA,NA,0,0.853,0.507,0.026,-540.022,1082.045,1084.522,563,NA,NA,NA,NA
NCT01370005,cox_unadj,0.574,0.449,0.59,0.442,0.59,0.444,NA,NA,0.001,0.428,0.542,0.043,-229.746,461.491,463.102,824,NA,NA,NA,NA
NCT01422876,cox_unadj,0.073,0.787,0.073,0.787,0.07,0.787,NA,NA,0,0.859,0.504,0.021,-801.37,1604.74,1607.536,817,NA,NA,NA,NA
NCT01438814,cox_unadj,0.016,0.901,0.016,0.901,0.02,0.901,NA,NA,0,0.39,0.493,0.05,-170.106,342.212,343.544,689,NA,NA,NA,NA
NCT01708902,cox_unadj,0.752,0.386,0.772,0.38,0.77,0.381,NA,NA,0.002,0.674,0.537,0.039,-243.96,489.92,491.658,436,NA,NA,NA,NA
NCT01719003,cox_unadj,2.942,0.086,2.926,0.087,2.88,0.09,NA,NA,0.004,0.712,0.557,0.03,-421.532,845.065,847.284,679,NA,NA,NA,NA
NCT01734785,cox_unadj,0.272,0.602,0.264,0.608,0.26,0.609,NA,NA,0.001,0.464,0.525,0.054,-103.433,208.866,209.756,332,NA,NA,NA,NA
NCT01792518,cox_unadj,0.001,0.969,0.001,0.969,0,0.969,NA,NA,0,0.369,0.502,0.067,-82.842,167.684,168.392,360,NA,NA,NA,NA
NCT02182830,cox_unadj,0.15,0.699,0.15,0.699,0.15,0.699,NA,NA,0.001,0.864,0.515,0.044,-163.47,328.94,330.466,164,NA,NA,NA,NA
NCT02453555,cox_unadj,1.661,0.197,1.755,0.185,1.7,0.192,NA,NA,0.006,0.538,0.573,0.057,-105.252,212.504,213.448,275,NA,NA,NA,NA
NCT01064687,cox_unadj,0.164,0.686,0.168,0.682,0.17,0.682,NA,NA,0,0.781,0.518,0.019,-740.317,1482.634,1485.413,976,NA,NA,NA,NA
NCT01075282,cox_unadj,0.549,0.459,0.538,0.463,0.54,0.464,NA,NA,0.001,0.747,0.514,0.025,-554.907,1111.813,1114.244,807,NA,NA,NA,NA
NCT01126580,cox_unadj,0.956,0.328,0.974,0.324,0.97,0.324,NA,NA,0.001,0.909,0.526,0.02,-964.929,1931.858,1934.908,807,NA,NA,NA,NA
NCT01191268,cox_unadj,0.602,0.438,0.594,0.441,0.59,0.441,NA,NA,0.001,0.91,0.519,0.018,-1066.433,2134.866,2137.972,884,NA,NA,NA,NA
NCT01558271,cox_unadj,3.585,0.058,4.245,0.039,4.08,0.043,NA,NA,0.007,0.675,0.553,0.031,-275.063,552.127,553.955,492,NA,NA,NA,NA
NCT01621178,cox_unadj,0.355,0.551,0.35,0.554,0.35,0.554,NA,NA,0.001,0.869,0.517,0.024,-583.773,1169.545,1172.099,575,NA,NA,NA,NA
NCT01648582,cox_unadj,0.114,0.736,0.113,0.737,0.11,0.737,NA,NA,0,0.717,0.504,0.028,-488.476,978.952,981.308,774,NA,NA,NA,NA
NCT01769378,cox_unadj,2.845,0.092,2.321,0.128,2.11,0.146,NA,NA,0.009,0.592,0.58,0.022,-132.712,267.424,268.643,299,NA,NA,NA,NA
NCT02152371,cox_unadj,0.698,0.403,0.697,0.404,0.69,0.406,NA,NA,0.002,0.64,0.554,0.047,-152.824,307.648,308.98,300,NA,NA,NA,NA
NCT02597049,cox_unadj,3.036,0.081,2.626,0.105,2.35,0.125,NA,NA,0.007,0.291,0.579,0.057,-71.298,144.597,145.305,423,NA,NA,NA,NA
NCT02750410,cox_unadj,4.258,0.039,4.945,0.026,4.53,0.033,NA,NA,0.026,0.658,0.612,0.06,-83.156,168.311,169.145,159,NA,NA,NA,NA
NCT00838903,cox_unadj,2.742,0.433,2.953,0.399,2.93,0.402,NA,NA,0.003,0.994,0.514,0.015,-2555.86,5117.719,5129.556,1009,NA,NA,NA,NA
NCT00838916,cox_unadj,3.439,0.064,3.341,0.068,3.32,0.068,NA,NA,0.005,0.991,0.527,0.014,-1718.99,3439.979,3443.574,739,NA,NA,NA,NA
NCT00839527,cox_unadj,3.659,0.16,3.879,0.144,3.85,0.146,NA,NA,0.006,0.996,0.526,0.016,-1841.357,3686.714,3694.094,661,NA,NA,NA,NA
NCT00849017,cox_unadj,0.65,0.42,0.662,0.416,0.66,0.416,NA,NA,0.002,0.986,0.518,0.022,-642.759,1287.518,1290.289,299,NA,NA,NA,NA
NCT00849056,cox_unadj,3.539,0.06,3.546,0.06,3.51,0.061,NA,NA,0.012,0.984,0.553,0.023,-618.849,1239.699,1242.426,301,NA,NA,NA,NA
NCT00976391,cox_unadj,0.064,0.8,0.064,0.8,0.06,0.8,NA,NA,0,0.825,0.511,0.028,-492.991,987.983,990.377,565,NA,NA,NA,NA
NCT01098539,cox_unadj,3.418,0.065,3.414,0.065,3.38,0.066,NA,NA,0.007,0.945,0.547,0.023,-711.866,1425.732,1428.511,493,NA,NA,NA,NA
NCT01733758,cox_unadj,7.561,0.006,9.33,0.002,8.71,0.003,NA,NA,0.015,0.715,0.578,0.032,-303.351,608.702,610.614,490,NA,NA,NA,NA
NCT02229227,cox_unadj,0.4,0.527,0.4,0.527,0.4,0.528,NA,NA,0,0.831,0.519,0.024,-722.436,1446.873,1449.591,812,NA,NA,NA,NA
NCT00968812,cox_unadj,2.242,0.134,2.278,0.131,2.27,0.132,NA,NA,0.002,0.99,0.516,0.011,-3331.57,6665.14,6669.297,1452,NA,NA,NA,NA
NCT01081834,cox_unadj,8.567,0.003,9.036,0.003,8.84,0.003,NA,NA,0.014,0.941,0.559,0.021,-824.339,1650.678,1653.583,587,NA,NA,NA,NA
NCT01106625,cox_unadj,6.924,0.009,7.247,0.007,7.14,0.008,NA,NA,0.015,0.982,0.546,0.019,-933.667,1869.334,1872.403,469,NA,NA,NA,NA
NCT01106651,cox_unadj,9.729,0.002,10.239,0.001,10.06,0.002,NA,NA,0.013,0.969,0.557,0.018,-1242.209,2486.417,2489.695,716,NA,NA,NA,NA
NCT01106677,cox_unadj,2.883,0.237,2.979,0.226,2.96,0.227,NA,NA,0.002,0.94,0.523,0.016,-1808.465,3620.929,3628.081,1284,NA,NA,NA,NA
NCT01106690,cox_unadj,6.705,0.01,7.113,0.008,6.91,0.009,NA,NA,0.019,0.932,0.568,0.027,-459.29,920.579,922.974,344,NA,NA,NA,NA
NCT01137812,cox_unadj,7.411,0.006,7.392,0.007,7.33,0.007,NA,NA,0.01,0.992,0.536,0.015,-1840.619,3683.238,3686.914,756,NA,NA,NA,NA
NCT01381900,cox_unadj,0.441,0.507,0.428,0.513,0.43,0.514,NA,NA,0.001,0.454,0.527,0.04,-204.772,411.543,413.009,678,NA,NA,NA,NA
NCT01809327,cox_unadj,1.462,0.227,1.502,0.22,1.49,0.222,NA,NA,0.002,0.746,0.526,0.028,-487.268,976.536,978.918,712,NA,NA,NA,NA
NCT02025907,cox_unadj,6.21,0.013,6.064,0.014,5.73,0.017,NA,NA,0.028,0.842,0.594,0.039,-197.781,397.563,399.252,218,NA,NA,NA,NA
NCT00688701,cox_unadj,0.205,0.651,0.201,0.654,0.2,0.655,NA,NA,0.001,0.619,0.514,0.043,-173.684,349.369,350.77,360,NA,NA,NA,NA
NCT00712673,cox_unadj,0.048,0.826,0.048,0.827,0.05,0.827,NA,NA,0,0.956,0.509,0.017,-1062.748,2127.496,2130.626,680,NA,NA,NA,NA
NCT00713830,cox_unadj,0.245,0.621,0.243,0.622,0.24,0.622,NA,NA,0,0.98,0.504,0.015,-1686.325,3374.651,3378.204,858,NA,NA,NA,NA
NCT00715624,cox_unadj,0.657,0.418,0.647,0.421,0.65,0.422,NA,NA,0.001,0.982,0.513,0.018,-987.843,1977.686,1980.798,494,NA,NA,NA,NA
NCT00763451,cox_unadj,0.161,0.688,0.16,0.689,0.16,0.689,NA,NA,0,0.923,0.512,0.023,-618.518,1239.036,1241.671,482,NA,NA,NA,NA
NCT00763815,cox_unadj,2.1,0.147,2.16,0.142,2.15,0.143,NA,NA,0.004,0.965,0.527,0.021,-807.691,1617.382,1620.294,484,NA,NA,NA,NA
NCT00866658,cox_unadj,1.977,0.16,1.967,0.161,1.93,0.165,NA,NA,0.006,0.699,0.559,0.043,-185.25,372.5,373.996,310,NA,NA,NA,NA
NCT00975286,cox_unadj,7.899,0.005,7.684,0.006,7.17,0.007,NA,NA,0.018,0.671,0.608,0.036,-244.267,490.533,492.247,446,NA,NA,NA,NA
NCT00976937,cox_unadj,1.232,0.267,1.227,0.268,1.21,0.272,NA,NA,0.004,0.62,0.555,0.047,-153.796,309.593,310.889,319,NA,NA,NA,NA
NCT01169779,cox_unadj,2.309,0.129,2.286,0.131,2.22,0.136,NA,NA,0.006,0.549,0.569,0.048,-154.101,310.202,311.498,390,NA,NA,NA,NA
NCT01632163,cox_unadj,2.682,0.101,2.626,0.105,2.54,0.111,NA,NA,0.011,0.692,0.575,0.047,-146.391,294.782,296.078,251,NA,NA,NA,NA
NCT01768559,cox_unadj,7.696,0.006,8.203,0.004,7.84,0.005,NA,NA,0.009,0.577,0.592,0.033,-380.074,762.148,764.209,892,NA,NA,NA,NA
NCT01798706,cox_unadj,0.199,0.655,0.199,0.656,0.2,0.656,NA,NA,0.001,0.728,0.516,0.041,-211.754,425.508,427.119,325,NA,NA,NA,NA
NCT00286429,cox_unadj,13.477,0,14.461,0,14.06,0,NA,NA,0.035,0.993,0.571,0.019,-937.506,1877.012,1880.13,382,NA,NA,NA,NA
NCT00286442,cox_unadj,8.084,0.004,9.197,0.002,8.89,0.003,NA,NA,0.016,0.912,0.559,0.022,-621.822,1245.643,1248.268,515,NA,NA,NA,NA
NCT00286455,cox_unadj,9.321,0.002,11.014,0.001,10.41,0.001,NA,NA,0.029,0.911,0.574,0.027,-385.006,772.011,774.26,322,NA,NA,NA,NA
NCT00286468,cox_unadj,6.18,0.013,6.845,0.009,6.7,0.01,NA,NA,0.012,0.962,0.544,0.019,-817.398,1636.797,1639.717,500,NA,NA,NA,NA
NCT00286494,cox_unadj,1.21,0.271,1.277,0.259,1.27,0.26,NA,NA,0.002,0.92,0.526,0.021,-612.362,1226.725,1229.35,486,NA,NA,NA,NA
NCT00707993,cox_unadj,0.477,0.49,0.477,0.49,0.48,0.49,NA,NA,0.001,0.992,0.517,0.019,-1063.243,2128.486,2131.696,441,NA,NA,NA,NA
NCT00856284,cox_unadj,8.673,0.003,8.85,0.003,8.83,0.003,NA,NA,0.003,0.999,0.521,0.007,-9455.016,18912.032,18917.161,2638,NA,NA,NA,NA
NCT01023581,cox_unadj,10.261,0.006,9.802,0.007,9.51,0.009,NA,NA,0.018,0.942,0.562,0.023,-789.872,1583.745,1589.48,559,NA,NA,NA,NA
NCT01289119,cox_unadj,0.234,0.628,0.234,0.629,0.23,0.629,NA,NA,0,0.633,0.518,0.039,-253.052,508.103,509.817,505,NA,NA,NA,NA
NCT01632007,cox_unadj,1.012,0.314,1.126,0.289,1.1,0.295,NA,NA,0.004,0.511,0.554,0.058,-87.013,176.027,176.799,245,NA,NA,NA,NA
NCT01890122,cox_unadj,14.792,0.001,15.674,0,15.01,0.001,NA,NA,0.03,0.947,0.593,0.025,-707.351,1418.702,1424.277,488,NA,NA,NA,NA
NCT01217892,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.293,200.586,208.539,394,196.854,393,196.586,392
NCT01606007,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.663,183.327,191.014,345,179.376,344,179.327,343
NCT01619059,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.415,122.829,130.27,305,119.618,304,118.829,303
NCT02471404,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.863,235.725,244.512,598,232.095,597,231.725,596
NCT02681094,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.15,198.3,207.077,595,194.74,594,194.3,593
NCT00601250,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-187.704,379.407,388.509,700,375.445,699,375.407,698
NCT00602472,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-280.66,565.32,575.242,1055,561.443,1054,561.32,1053
NCT00621140,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-120.645,245.289,253.731,503,243.575,502,241.289,501
NCT00622284,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-839.778,1683.556,1694.25,1551,1680.699,1550,1679.556,1549
NCT00641043,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.536,215.073,222.99,387,220.81,386,211.073,385
NCT00654381,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.292,228.584,241.362,523,224.114,522,222.584,520
NCT00740051,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.593,243.187,250.037,227,239.368,226,239.187,225
NCT00798161,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-212.751,431.502,444.176,505,431.249,504,425.502,502
NCT00800683,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.688,153.375,159.11,130,149.412,129,149.375,128
NCT00819091,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.039,126.079,133.023,238,122.484,237,122.079,236
NCT00915772,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-201.732,407.463,415.421,395,403.495,394,403.463,393
NCT00954447,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-536.201,1076.403,1086.668,1252,1076.335,1251,1072.403,1250
NCT00996658,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.837,195.674,202.885,272,192.977,271,191.674,270
NCT01084005,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.652,145.303,152.256,239,142.24,238,141.303,237
NCT01087502,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.754,243.508,250.427,235,243.271,234,239.508,233
NCT01159600,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-360.139,724.278,734.623,1303,725.3,1302,720.278,1301
NCT01164501,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-275.416,554.833,564.038,737,550.965,736,550.833,735
NCT01167881,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-819.736,1643.472,1654.158,1545,1643.447,1544,1639.472,1543
NCT01177813,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-295.789,597.579,611.976,897,606.147,896,591.579,894
NCT01194830,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.963,243.926,250.676,216,240.707,215,239.926,214
NCT01210001,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-140.518,285.037,293.458,498,283.284,497,281.037,496
NCT01214239,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.072,198.143,205.544,299,194.839,298,194.143,297
NCT01215097,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.779,179.557,186.998,305,177.753,304,175.557,303
NCT01306214,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-243.978,491.956,500.622,563,488.113,562,487.956,561
NCT01370005,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-150.479,304.959,314.387,824,301.954,823,300.959,822
NCT01422876,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-342.6,689.201,698.612,817,685.306,816,685.201,815
NCT01438814,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.108,238.216,247.287,689,234.216,688,234.216,687
NCT01708902,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-137.724,279.449,287.604,436,276.375,435,275.449,434
NCT01719003,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-219.827,443.654,452.695,679,441.902,678,439.654,677
NCT01734785,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.842,143.684,151.294,332,139.937,331,139.684,330
NCT01792518,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62.307,128.613,136.385,360,124.708,359,124.613,358
NCT02182830,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.628,171.256,177.456,164,167.405,163,167.256,162
NCT02453555,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.302,140.605,147.838,275,138.205,274,136.605,273
NCT01064687,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-361.553,727.106,736.873,976,723.695,975,723.106,974
NCT01075282,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-269.188,542.376,551.762,807,539.037,806,538.376,805
NCT01126580,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-396.044,796.087,805.474,807,792.45,806,792.087,805
NCT01191268,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-425.319,854.638,864.206,884,850.993,883,850.638,882
NCT01558271,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-151.088,306.176,314.573,492,305.584,491,302.176,490
NCT01621178,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-257.626,519.251,527.96,575,515.454,574,515.251,573
NCT01648582,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-252.891,509.782,519.085,774,505.86,773,505.782,772
NCT01769378,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-84.467,172.934,180.335,299,171.927,298,168.934,297
NCT02152371,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-92.739,189.477,196.885,300,186.11,299,185.477,298
NCT02597049,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-64.165,132.33,140.425,423,129.641,422,128.33,421
NCT02750410,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-51.756,107.512,113.65,159,108.127,158,103.512,157
NCT00838903,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-668.125,1344.25,1363.917,1009,1338.683,1008,1336.25,1005
NCT00838916,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-482.92,969.841,979.051,739,969.107,738,965.841,737
NCT00839527,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-452.953,911.905,925.387,661,909.125,660,905.905,658
NCT00849017,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.256,404.513,411.914,299,401.128,298,400.513,297
NCT00849056,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-198.063,400.127,407.541,301,398.389,300,396.127,299
NCT00976391,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-232.179,468.359,477.033,565,464.454,564,464.359,563
NCT01098539,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-270.719,545.439,553.84,493,544.927,492,541.439,491
NCT01733758,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-157.827,319.653,328.042,490,322.953,489,315.653,488
NCT02229227,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-325.381,654.761,664.16,812,651.532,811,650.761,810
NCT00968812,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-914.551,1833.101,1843.663,1452,1831.353,1451,1829.101,1450
NCT01081834,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-312.177,628.355,637.105,587,633.086,586,624.355,585
NCT01106625,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-296.709,597.418,605.72,469,600.679,468,593.418,467
NCT01106651,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-416.497,836.995,846.142,716,840.507,715,832.995,714
NCT01106677,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-650.498,1306.997,1322.47,1284,1304.745,1283,1300.997,1281
NCT01106690,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-184.292,372.584,380.266,344,375.508,343,368.584,342
NCT01137812,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-498.864,1001.727,1010.983,756,1008.561,755,997.727,754
NCT01381900,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.731,261.462,270.501,678,257.884,677,257.462,676
NCT01809327,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-249.32,502.64,511.776,712,500.422,711,498.64,710
NCT02025907,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99.896,203.792,210.561,218,207.815,217,199.792,216
NCT00688701,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.148,210.297,218.069,360,206.522,359,206.297,358
NCT00712673,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-381.284,766.568,775.612,680,762.571,679,762.568,678
NCT00713830,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-524.428,1052.857,1062.366,858,1049.258,857,1048.857,856
NCT00715624,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-315.008,634.016,642.422,494,630.708,493,630.016,492
NCT00763451,glm_unadj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-250.026,504.052,512.408,482,500.132,481,500.052,480
