nct_id,min_dur,max_dur,med_dur,arm_lvl,trt_class,trttype,n,attr
NCT01438814,0.57,18.43,14,A10BA02_d500,biguanide,ac,345,14
NCT01438814,0.71,16.29,14,A10BH05_d5,dpp4,exp,344,14
NCT01708902,0.29,27.57,24.14,A10BA02_d1000,biguanide,ac,144,17
NCT01708902,3.14,28,24.14,A10BA02_d500,biguanide,ac,145,8
NCT01708902,0.14,27.14,24.14,A10BH05_d5,dpp4,exp,147,17
NCT01719003,0.14,32.43,24,A10BA02_d1000,biguanide,ac,170,20
NCT01719003,0.14,27.57,24,A10BA02_d500,biguanide,ac,171,20
NCT01719003,0.43,26.86,24.14,A10BK03_d10,sglt2,exp,172,12
NCT01719003,0.86,32.86,24,A10BK03_d25,sglt2,exp,166,16
NCT01734785,17.43,44.14,41.57,placebo,placebo,plc,110,5
NCT01734785,18,45.43,41.14,A10BK03_d10,sglt2,exp,112,9
NCT01734785,20.43,44.71,41.14,A10BK03_d25,sglt2,exp,110,4
NCT01792518,3.71,25.71,24.14,A10BH05_d5,dpp4,exp,182,7
NCT01792518,7.14,30.29,24.29,placebo,placebo,plc,178,8
NCT02182830,0.29,28,24,placebo,placebo,plc,82,18
NCT02182830,0.14,29.14,24,A10BK03_d25,sglt2,exp,82,16
NCT02453555,4,53,52,placebo,placebo,plc,93,9
NCT02453555,0.86,53,52,A10BK03_d10,sglt2,exp,182,10
NCT01064687,2.14,61.57,52.14,A10BJ01_d10,glp1,exp,276,39
NCT01064687,5,61.71,52.14,A10BJ05_d0.75,glp1,exp,280,26
NCT01064687,0.86,61.57,52.14,A10BJ05_d1.5,glp1,exp,279,34
NCT01064687,2,61.86,52.14,placebo,placebo,plc,141,20
NCT01075282,1.14,83.43,78.14,A10BJ05_d0.75,glp1,exp,272,29
NCT01075282,0.86,84.43,78.14,A10BJ05_d1.5,glp1,exp,273,31
NCT01075282,0.57,87,78.14,A10A,insulin,ac,262,24
NCT01126580,1.14,57.57,52.14,A10BA02_d750,biguanide,ac,268,55
NCT01126580,1,66,52.14,A10BJ05_d0.75,glp1,exp,270,52
NCT01126580,0.71,59.57,52.14,A10BJ05_d1.5,glp1,exp,269,49
NCT01191268,0.86,69.43,52.14,A10BJ05_d0.75,glp1,exp,293,55
NCT01191268,1,61.86,52.14,A10BJ05_d1.5,glp1,exp,295,58
NCT01191268,1.14,67.14,52.14,A10A,insulin,ac,296,52
NCT01558271,0.29,53.29,52.29,A10BJ02_d0.9,glp1,exp,141,17
NCT01558271,0.29,55.71,52.29,A10BJ05_d0.75,glp1,exp,281,18
NCT01558271,4.43,53.29,52.29,placebo,placebo,plc,70,11
NCT01621178,0.71,61.29,52.14,A10BJ05_d0.75,glp1,exp,190,30
NCT01621178,0.29,81,52.14,A10BJ05_d1.5,glp1,exp,192,35
NCT01621178,1.29,60.71,52.14,A10A,insulin,ac,193,30
NCT01648582,2.29,62.71,56.43,A10BJ05_d0.75,glp1,exp,257,27
NCT01648582,3.29,65.14,56.36,A10BJ05_d1.5,glp1,exp,258,26
NCT01648582,0.14,64.29,56.43,A10A,insulin,ac,259,25
NCT01769378,2.14,43.29,24.14,A10BJ05_d1.5,glp1,exp,239,23
NCT01769378,20.14,27.43,24.14,placebo,placebo,plc,60,2
NCT02152371,3.14,31.86,28.14,A10BJ05_d1.5,glp1,exp,150,12
NCT02152371,1,32.29,28.14,placebo,placebo,plc,150,16
NCT02597049,5.29,35,24.14,A10BJ05_d0.75,glp1,exp,141,5
NCT02597049,2.57,35.71,24.14,A10BJ05_d1.5,glp1,exp,142,7
NCT02597049,9.29,42.29,24.14,placebo,placebo,plc,140,3
NCT02750410,2.29,53.29,52.29,A10BJ05_d0.75,glp1,exp,120,9
NCT02750410,11.29,53.29,52.14,placebo,placebo,plc,39,8
NCT00838903,1.14,165.43,156.5,A10BH01_d100,dpp4,exp,302,112
NCT00838903,0.14,161.43,156.43,A10BJ04_d30,glp1,exp,301,110
NCT00838903,0.57,164.86,156.29,placebo,placebo,plc,100,45
NCT00838903,1.43,161.29,156.43,A10BB12,sulf,ac,306,115
NCT00838916,0.29,162.29,156.36,A10BJ04_d30,glp1,exp,500,193
NCT00838916,1.86,162.86,156.43,A10A,insulin,ac,239,76
NCT00839527,1.29,162.29,156.29,A10BJ04_d30,glp1,exp,270,119
NCT00839527,1.57,161.71,143.71,placebo,placebo,plc,115,60
NCT00839527,1.43,160.14,156.21,A10BG03,thia,ac,276,117
NCT00849017,0.86,163,156.43,A10BJ04_d30,glp1,exp,98,42
NCT00849017,2.43,162.86,156.57,A10BJ04_d50,glp1,exp,100,33
NCT00849017,2.14,162.14,156.29,placebo,placebo,plc,101,43
NCT00849056,1.71,162,156.57,A10BJ04_d30,glp1,exp,150,50
NCT00849056,0.71,161.29,156.29,placebo,placebo,plc,151,63
NCT00976391,0.57,65.71,52.71,A10BJ04_d30,glp1,exp,284,42
NCT00976391,1,59.43,52.57,A10A,insulin,ac,281,39
NCT01098539,1.29,59,52.71,A10BH01_d100,dpp4,exp,245,68
NCT01098539,0.86,58,52.71,A10BJ04_d30,glp1,exp,248,51
NCT01733758,1,55.29,52.71,A10BJ02_d0.9,glp1,exp,103,8
NCT01733758,5,55,52.71,A10BJ04_d30,glp1,exp,160,12
NCT01733758,9,54.57,52.86,A10BJ04_d50,glp1,exp,150,15
NCT01733758,6,54.57,52.86,placebo,placebo,plc,77,15
NCT02229227,0.14,38.71,30.14,A10BJ04_d50,glp1,exp,401,51
NCT02229227,1.14,55.29,30.14,A10A,insulin,ac,411,61
NCT00968812,1.43,112.43,104.14,A10BK02_d100,sglt2,exp,483,140
NCT00968812,0.71,114.29,104,A10BK02_d300,sglt2,exp,485,162
NCT00968812,0.14,108.43,104,A10BB12,sulf,ac,484,170
NCT01081834,0.14,57.14,52.14,placebo,placebo,plc,194,59
NCT01081834,0.14,58,52.14,A10BK02_d100,sglt2,exp,196,44
NCT01081834,2.14,56.14,52.14,A10BK02_d300,sglt2,exp,197,32
NCT01106625,1.71,53.57,52,placebo,placebo,plc,156,66
NCT01106625,1.14,65.71,52.14,A10BK02_d100,sglt2,exp,157,48
NCT01106625,1.43,55,52.14,A10BK02_d300,sglt2,exp,156,45
NCT01106651,2.14,106.29,103.86,placebo,placebo,plc,239,81
NCT01106651,0.86,108.29,104,A10BK02_d100,sglt2,exp,241,57
NCT01106651,4.71,112.14,104.14,A10BK02_d300,sglt2,exp,236,58
NCT01106677,2.14,58.29,52.14,A10BH01_d100,dpp4,exp,366,81
NCT01106677,5.14,57.14,52.14,placebo,placebo,plc,183,45
NCT01106677,2,58.29,52.14,A10BK02_d100,sglt2,exp,368,70
NCT01106677,2.14,56.86,52.14,A10BK02_d300,sglt2,exp,367,68
NCT01106690,3.14,53.43,52,placebo,placebo,plc,115,37
NCT01106690,3.14,55.43,52.14,A10BK02_d100,sglt2,exp,114,25
NCT01106690,0.14,54.43,52.14,A10BK02_d300,sglt2,exp,115,19
NCT01137812,0.29,58.86,51.14,A10BH01_d100,dpp4,exp,378,168
NCT01137812,0.14,55.43,51.29,A10BK02_d300,sglt2,exp,378,124
NCT01381900,3.14,20.43,18.14,placebo,placebo,plc,226,9
NCT01381900,0.14,19.57,18.14,A10BK02_d100,sglt2,exp,225,11
NCT01381900,2.14,20.29,18.14,A10BK02_d300,sglt2,exp,227,12
NCT01809327,2.86,31.43,26.14,A10BA02_d500,biguanide,ac,237,32
NCT01809327,2,33.14,26.14,A10BK02_d100,sglt2,exp,237,26
NCT01809327,2.29,31.14,26.14,A10BK02_d300,sglt2,exp,238,22
NCT02025907,6,36.71,26.14,placebo,placebo,plc,109,28
NCT02025907,6.14,34.14,26.14,A10BK02_d100,sglt2,exp,109,12
NCT00688701,0.14,14.71,12.14,A10BJ03_dcmplx,glp1,exp,238,21
NCT00688701,1,13.57,12.14,placebo,placebo,plc,122,9
NCT00712673,0.57,125,80.43,A10BJ03_dcmplx,glp1,exp,510,127
NCT00712673,1.29,128.29,80.93,placebo,placebo,plc,170,42
NCT00713830,0.14,119.86,85.07,A10BJ03_d20,glp1,exp,572,176
NCT00713830,0.71,120,88.07,placebo,placebo,plc,286,82
NCT00715624,0.14,125,80,A10BJ03_d20,glp1,exp,327,114
NCT00715624,0.14,117,79.71,placebo,placebo,plc,167,52
NCT00763451,0.14,112.14,83.79,A10BJ03_dcmplx,glp1,exp,322,70
NCT00763451,0.29,108.14,84.07,placebo,placebo,plc,160,33
NCT00763815,0.14,124.86,87.86,A10BJ03_d20,glp1,exp,323,84
NCT00763815,0.43,132.14,84,placebo,placebo,plc,161,52
NCT00866658,0.29,26.14,24.14,A10BJ03_d20,glp1,exp,153,20
NCT00866658,1,25,24.14,placebo,placebo,plc,157,13
NCT00975286,0.86,28.14,24.14,A10BJ03_d20,glp1,exp,223,29
NCT00975286,1.29,30.14,24.14,placebo,placebo,plc,223,12
NCT00976937,2,26.86,24.14,A10BH01_d100,dpp4,exp,161,11
NCT00976937,0.14,27.14,24.14,A10BJ03_d20,glp1,exp,158,16
NCT01169779,0.14,25.86,24.14,A10BJ03_d20,glp1,exp,196,17
NCT01169779,0.71,30.29,24.14,placebo,placebo,plc,194,10
NCT01632163,1.57,26,24.14,A10BJ03_d20,glp1,exp,122,9
NCT01632163,0.14,28,24.14,placebo,placebo,plc,129,18
NCT01768559,1.57,33.14,26,A10BJ03_d20,glp1,exp,297,29
NCT01768559,0.14,34.29,26,A10A,insulin,ac,595,29
NCT01798706,1,26.71,24.14,A10BJ03_d20,glp1,exp,162,17
NCT01798706,1.43,29.29,24.14,placebo,placebo,plc,163,20
NCT00286429,3,42.29,26.14,A10BH04_d12.5,dpp4,exp,130,47
NCT00286429,3.14,30.86,26.14,A10BH04_d25,dpp4,exp,126,49
NCT00286429,1.71,31,21.71,placebo,placebo,plc,126,71
NCT00286442,2.14,30.29,26.14,A10BH04_d12.5,dpp4,exp,209,33
NCT00286442,1.43,32.14,26.14,A10BH04_d25,dpp4,exp,203,38
NCT00286442,4,29.57,26.14,placebo,placebo,plc,103,31
NCT00286455,3.86,31.71,26.14,A10BH04_d12.5,dpp4,exp,131,26
NCT00286455,4.14,29.29,26.14,A10BH04_d25,dpp4,exp,128,21
NCT00286455,2.57,29.14,26.14,placebo,placebo,plc,63,23
NCT00286468,0.14,29.71,26.14,A10BH04_d12.5,dpp4,exp,203,50
NCT00286468,3.57,31.14,26.14,A10BH04_d25,dpp4,exp,198,50
NCT00286468,1.14,29.29,26,placebo,placebo,plc,99,37
NCT00286494,3.86,31.57,26.14,A10BH04_d12.5,dpp4,exp,196,43
NCT00286494,3.14,30.57,26.14,A10BH04_d25,dpp4,exp,195,35
NCT00286494,1.43,33.14,26.14,placebo,placebo,plc,95,24
NCT00707993,0.29,58.71,54,A10BH04_d25,dpp4,exp,222,89
NCT00707993,2.14,60,54,A10BB07,sulf,ac,219,94
NCT00856284,0.14,126.57,105,A10BH04_d12.5,dpp4,exp,880,409
NCT00856284,0.14,115,105.14,A10BH04_d25,dpp4,exp,885,392
NCT00856284,1,117.57,96.86,A10BB07,sulf,ac,873,447
NCT01023581,1.29,30.14,28,A10BA02_d1000,biguanide,ac,111,16
NCT01023581,0.14,31.71,28,A10BA02_d500,biguanide,ac,114,20
NCT01023581,0.14,35.86,27.43,A10BH04_d12.5,dpp4,exp,113,39
NCT01023581,2.14,32.86,28,A10BH04_d25,dpp4,exp,112,23
NCT01023581,0.14,31.14,27.29,placebo,placebo,plc,109,32
NCT01289119,4.14,20.29,18.14,A10BH04_d25,dpp4,exp,252,19
NCT01289119,1.57,20.14,18.14,placebo,placebo,plc,253,22
NCT01632007,9,26.57,25.14,A10BH04_d25,dpp4,exp,92,2
NCT01632007,3.14,27.14,25.14,A10BH__07_d100,dpp4,exp,102,9
NCT01632007,5.29,26.14,25.14,placebo,placebo,plc,51,5
NCT01890122,2.57,37.71,28.14,A10BA02_d500,biguanide,ac,162,28
NCT01890122,1,40.57,28.14,A10BH04_d12.5,dpp4,exp,163,35
NCT01890122,2.29,33.14,27.71,placebo,placebo,plc,163,57
